"Step","Group: text10-vision0 - evaluation/blimp/binding","Group: text10-vision0 - evaluation/blimp/binding__MIN","Group: text10-vision0 - evaluation/blimp/binding__MAX","Group: text1-vision0 - evaluation/blimp/binding","Group: text1-vision0 - evaluation/blimp/binding__MIN","Group: text1-vision0 - evaluation/blimp/binding__MAX","Group: text1-vision100 - evaluation/blimp/binding","Group: text1-vision100 - evaluation/blimp/binding__MIN","Group: text1-vision100 - evaluation/blimp/binding__MAX","Group: text1-vision10 - evaluation/blimp/binding","Group: text1-vision10 - evaluation/blimp/binding__MIN","Group: text1-vision10 - evaluation/blimp/binding__MAX","Group: text1-vision1 - evaluation/blimp/binding","Group: text1-vision1 - evaluation/blimp/binding__MIN","Group: text1-vision1 - evaluation/blimp/binding__MAX","Group: text10-vision1 - evaluation/blimp/binding","Group: text10-vision1 - evaluation/blimp/binding__MIN","Group: text10-vision1 - evaluation/blimp/binding__MAX","Group: text10-vision10 - evaluation/blimp/binding","Group: text10-vision10 - evaluation/blimp/binding__MIN","Group: text10-vision10 - evaluation/blimp/binding__MAX","Group: text10-vision100 - evaluation/blimp/binding","Group: text10-vision100 - evaluation/blimp/binding__MIN","Group: text10-vision100 - evaluation/blimp/binding__MAX"
"3521","","","","","","","","","","","","","","","","","","","63.209999084472656","63.209999084472656","63.209999084472656","63.560001373291016","63.560001373291016","63.560001373291016"
"3617","60.19499969482422","57.54999923706055","62.84000015258789","59.05499839782715","59.0099983215332","59.099998474121094","","","","","","","","","","","","","","","","","",""
"3618","59.04999923706055","59.04999923706055","59.04999923706055","","","","","","","","","","","","","","","","","","","","",""
"3722","","","","","","","59.720001220703125","59.720001220703125","59.720001220703125","58.209999084472656","58.209999084472656","58.209999084472656","58.83000183105469","58.83000183105469","58.83000183105469","55.970001220703125","55.970001220703125","55.970001220703125","","","","","",""
"3723","","","","","","","","","","","","","","","","","","","62.63999938964844","62.63999938964844","62.63999938964844","62.849998474121094","62.849998474121094","62.849998474121094"
"3749","60.03000068664551","56.93000030517578","63.130001068115234","61.709999084472656","61.709999084472656","61.709999084472656","","","","","","","","","","","","","","","","","",""
"3750","60.77000045776367","60.77000045776367","60.77000045776367","","","","","","","","","","","","","","","","","","","","",""
"3859","","","","","","","60.060001373291016","60.060001373291016","60.060001373291016","55.939998626708984","55.939998626708984","55.939998626708984","59.11000061035156","59.11000061035156","59.11000061035156","59.84000015258789","59.84000015258789","59.84000015258789","","","","","",""
"3860","","","","","","","","","","","","","","","","","","","62.27000045776367","62.27000045776367","62.27000045776367","63.70000076293945","63.70000076293945","63.70000076293945"
"3946","58.95000076293945","56.040000915527344","61.86000061035156","59.96500015258789","59.90999984741211","60.02000045776367","","","","","","","","","","","","","","","","","",""
"3947","62.11000061035156","62.11000061035156","62.11000061035156","","","","","","","","","","","","","","","","","","","","",""
"4061","","","","","","","58.29999923706055","58.29999923706055","58.29999923706055","56.84000015258789","56.84000015258789","56.84000015258789","56.97999954223633","56.97999954223633","56.97999954223633","58.63999938964844","58.63999938964844","58.63999938964844","","","","","",""
"4062","","","","","","","","","","","","","","","","","","","63.02000045776367","63.02000045776367","63.02000045776367","63.369998931884766","63.369998931884766","63.369998931884766"
"4078","60.130001068115234","55.849998474121094","64.41000366210938","59.5","57.790000915527344","61.209999084472656","","","","","","","","","","","","","","","","","",""
"4079","58.83000183105469","58.83000183105469","58.83000183105469","","","","","","","","","","","","","","","","","","","","",""
"4198","","","","","","","60.369998931884766","60.369998931884766","60.369998931884766","55.970001220703125","55.970001220703125","55.970001220703125","59.189998626708984","59.189998626708984","59.189998626708984","58.619998931884766","58.619998931884766","58.619998931884766","","","","","",""
"4199","","","","","","","","","","","","","","","","","","","62.290000915527344","62.290000915527344","62.290000915527344","61.91999816894531","61.91999816894531","61.91999816894531"
"4275","60.87499809265137","56.65999984741211","65.08999633789062","60.85000038146973","60.18000030517578","61.52000045776367","","","","","","","","","","","","","","","","","",""
"4276","62.72999954223633","62.72999954223633","62.72999954223633","","","","","","","","","","","","","","","","","","","","",""
"4400","","","","","","","58.189998626708984","58.189998626708984","58.189998626708984","55.5099983215332","55.5099983215332","55.5099983215332","59.040000915527344","59.040000915527344","59.040000915527344","60.70000076293945","60.70000076293945","60.70000076293945","","","","","",""
"4401","","","","","","","","","","","","","","","","","","","63.2400016784668","63.2400016784668","63.2400016784668","62.439998626708984","62.439998626708984","62.439998626708984"
"4407","61.57500076293945","58.18000030517578","64.97000122070312","60.40999984741211","58.279998779296875","62.540000915527344","","","","","","","","","","","","","","","","","",""
"4408","61.31999969482422","61.31999969482422","61.31999969482422","","","","","","","","","","","","","","","","","","","","",""
"4537","","","","","","","60.29999923706055","60.29999923706055","60.29999923706055","60.369998931884766","60.369998931884766","60.369998931884766","","","","62.20000076293945","62.20000076293945","62.20000076293945","","","","","",""
"4538","","","","","","","","","","","","","","","","","","","64.37000274658203","64.37000274658203","64.37000274658203","64.54000091552734","64.54000091552734","64.54000091552734"
"4604","61.709999084472656","58.33000183105469","65.08999633789062","61.915000915527344","61.900001525878906","61.93000030517578","","","","","","","","","","","","","","","","","",""
"4605","62.349998474121094","62.349998474121094","62.349998474121094","","","","","","","","","","","","","","","","","","","","",""
"4668","","","","","","","","","","","","","57.97999954223633","57.97999954223633","57.97999954223633","","","","","","","","",""
"4736","61.799997329711914","57.7599983215332","65.83999633789062","61.15500068664551","60.81999969482422","61.4900016784668","","","","","","","","","","","","","","","","","",""
"4737","62.16999816894531","62.16999816894531","62.16999816894531","","","","","","","","","","","","","","","","","","","","",""
"4739","","","","","","","60.04999923706055","60.04999923706055","60.04999923706055","57.470001220703125","57.470001220703125","57.470001220703125","","","","62.150001525878906","62.150001525878906","62.150001525878906","","","","","",""
"4740","","","","","","","","","","","","","","","","","","","63.38999938964844","63.38999938964844","63.38999938964844","63.33000183105469","63.33000183105469","63.33000183105469"
"4870","","","","","","","","","","","","","60.970001220703125","60.970001220703125","60.970001220703125","","","","","","","","",""
