"trainer/global_step","Group: text10-vision0 - _step","Group: text10-vision0 - _step__MIN","Group: text10-vision0 - _step__MAX","Group: text10-vision0 - evaluation/blimp_average","Group: text10-vision0 - evaluation/blimp_average__MIN","Group: text10-vision0 - evaluation/blimp_average__MAX","Group: text10-vision1 - _step","Group: text10-vision1 - _step__MIN","Group: text10-vision1 - _step__MAX","Group: text10-vision1 - evaluation/blimp_average","Group: text10-vision1 - evaluation/blimp_average__MIN","Group: text10-vision1 - evaluation/blimp_average__MAX","Group: text10-vision100 - _step","Group: text10-vision100 - _step__MIN","Group: text10-vision100 - _step__MAX","Group: text10-vision100 - evaluation/blimp_average","Group: text10-vision100 - evaluation/blimp_average__MIN","Group: text10-vision100 - evaluation/blimp_average__MAX","Group: text10-vision10 - _step","Group: text10-vision10 - _step__MIN","Group: text10-vision10 - _step__MAX","Group: text10-vision10 - evaluation/blimp_average","Group: text10-vision10 - evaluation/blimp_average__MIN","Group: text10-vision10 - evaluation/blimp_average__MAX"
"4124","5394.5","5394","5395","67.72083282470703","67.05416870117188","68.38749694824219","5554","5554","5554","68.73416900634766","68.73416900634766","68.73416900634766","5555","5555","5555","66.0999984741211","66.0999984741211","66.0999984741211","5555","5555","5555","67.336669921875","67.336669921875","67.336669921875"
"4249","5591.5","5591","5592","68.6875","67.98500061035156","69.38999938964844","5756","5756","5756","68.3183364868164","68.3183364868164","68.3183364868164","5757","5757","5757","65.93333435058594","65.93333435058594","65.93333435058594","5757","5757","5757","66.75416564941406","66.75416564941406","66.75416564941406"
"4374","5723.5","5723","5724","68.0183334350586","67.97750091552734","68.05916595458984","5893","5893","5893","68.35749816894531","68.35749816894531","68.35749816894531","5894","5894","5894","66.70999908447266","66.70999908447266","66.70999908447266","5894","5894","5894","67.10832977294922","67.10832977294922","67.10832977294922"
"4499","5920.5","5920","5921","68.63041687011719","68.24083709716797","69.0199966430664","6095","6095","6095","68.35749816894531","68.35749816894531","68.35749816894531","6096","6096","6096","66.63333129882812","66.63333129882812","66.63333129882812","6096","6096","6096","67.72000122070312","67.72000122070312","67.72000122070312"
"4624","6052.5","6052","6053","68.17208480834961","67.40833282470703","68.93583679199219","6233","6233","6233","68.07166290283203","68.07166290283203","68.07166290283203","6233","6233","6233","66.67833709716797","66.67833709716797","66.67833709716797","6233","6233","6233","67.11666870117188","67.11666870117188","67.11666870117188"
"4749","6249.5","6249","6250","68.87874984741211","68.16416931152344","69.59333038330078","6435","6435","6435","67.75916290283203","67.75916290283203","67.75916290283203","6435","6435","6435","67.12083435058594","67.12083435058594","67.12083435058594","6435","6435","6435","67.7441635131836","67.7441635131836","67.7441635131836"
"4874","6381.5","6381","6382","68.87374877929688","68.83583068847656","68.91166687011719","6572","6572","6572","68.31583404541016","68.31583404541016","68.31583404541016","6572","6572","6572","67.71749877929688","67.71749877929688","67.71749877929688","6572","6572","6572","67.72000122070312","67.72000122070312","67.72000122070312"
"4999","6578.5","6578","6579","69.10874938964844","68.65833282470703","69.55916595458984","6774","6774","6774","68.37999725341797","68.37999725341797","68.37999725341797","6774","6774","6774","67.01667022705078","67.01667022705078","67.01667022705078","6774","6774","6774","67.20083618164062","67.20083618164062","67.20083618164062"
"5124","6710.5","6710","6711","69.22750091552734","68.74583435058594","69.70916748046875","6911","6911","6911","68.28250122070312","68.28250122070312","68.28250122070312","6911","6911","6911","67.44833374023438","67.44833374023438","67.44833374023438","6911","6911","6911","67.03083038330078","67.03083038330078","67.03083038330078"
"5249","6907.5","6907","6908","68.94791793823242","68.69416809082031","69.20166778564453","7113","7113","7113","69.04750061035156","69.04750061035156","69.04750061035156","7113","7113","7113","67.95417022705078","67.95417022705078","67.95417022705078","7113","7113","7113","67.42666625976562","67.42666625976562","67.42666625976562"
"5374","7039.5","7039","7040","69.20375061035156","68.98750305175781","69.41999816894531","7250","7250","7250","67.80583190917969","67.80583190917969","67.80583190917969","7250","7250","7250","68.336669921875","68.336669921875","68.336669921875","7250","7250","7250","68.26750183105469","68.26750183105469","68.26750183105469"
"5499","7236.5","7236","7237","69.48332977294922","69.07166290283203","69.8949966430664","7452","7452","7452","68.37249755859375","68.37249755859375","68.37249755859375","7452","7452","7452","67.13749694824219","67.13749694824219","67.13749694824219","7452","7452","7452","67.038330078125","67.038330078125","67.038330078125"
"5624","7368.5","7368","7369","69.72541427612305","69.31749725341797","70.13333129882812","7589","7589","7589","68.68333435058594","68.68333435058594","68.68333435058594","7589","7589","7589","68.1058349609375","68.1058349609375","68.1058349609375","7589","7589","7589","67.88249969482422","67.88249969482422","67.88249969482422"
"5749","7565.5","7565","7566","69.83958053588867","69.46083068847656","70.21833038330078","7791","7791","7791","69.43583679199219","69.43583679199219","69.43583679199219","7791","7791","7791","67.41416931152344","67.41416931152344","67.41416931152344","7791","7791","7791","67.22250366210938","67.22250366210938","67.22250366210938"
"5874","7697.5","7697","7698","70.29791641235352","69.52666473388672","71.06916809082031","7928","7928","7928","69.82166290283203","69.82166290283203","69.82166290283203","7928","7928","7928","66.83999633789062","66.83999633789062","66.83999633789062","7928","7928","7928","67.5058364868164","67.5058364868164","67.5058364868164"
