"trainer/global_step","Group: text10-vision0 - _step","Group: text10-vision0 - _step__MIN","Group: text10-vision0 - _step__MAX","Group: text10-vision0 - evaluation/pseudo_perplexity","Group: text10-vision0 - evaluation/pseudo_perplexity__MIN","Group: text10-vision0 - evaluation/pseudo_perplexity__MAX","Group: text10-vision1 - _step","Group: text10-vision1 - _step__MIN","Group: text10-vision1 - _step__MAX","Group: text10-vision1 - evaluation/pseudo_perplexity","Group: text10-vision1 - evaluation/pseudo_perplexity__MIN","Group: text10-vision1 - evaluation/pseudo_perplexity__MAX","Group: text10-vision100 - _step","Group: text10-vision100 - _step__MIN","Group: text10-vision100 - _step__MAX","Group: text10-vision100 - evaluation/pseudo_perplexity","Group: text10-vision100 - evaluation/pseudo_perplexity__MIN","Group: text10-vision100 - evaluation/pseudo_perplexity__MAX","Group: text10-vision10 - _step","Group: text10-vision10 - _step__MIN","Group: text10-vision10 - _step__MAX","Group: text10-vision10 - evaluation/pseudo_perplexity","Group: text10-vision10 - evaluation/pseudo_perplexity__MIN","Group: text10-vision10 - evaluation/pseudo_perplexity__MAX"
"2624","3420.5","3420","3421","22.458786010742188","22.44793701171875","22.469635009765625","3520","3520","3520","21.717933654785156","21.717933654785156","21.717933654785156","3521","3521","3521","40.881187438964844","40.881187438964844","40.881187438964844","3521","3521","3521","36.232994079589844","36.232994079589844","36.232994079589844"
"2749","3617.5","3617","3618","20.761728286743164","20.74764633178711","20.77581024169922","3722","3722","3722","20.448596954345703","20.448596954345703","20.448596954345703","3723","3723","3723","37.5191764831543","37.5191764831543","37.5191764831543","3723","3723","3723","33.0958137512207","33.0958137512207","33.0958137512207"
"2874","3749.5","3749","3750","19.221038818359375","19.159133911132812","19.282943725585938","3859","3859","3859","19.52190589904785","19.52190589904785","19.52190589904785","3860","3860","3860","35.00285720825195","35.00285720825195","35.00285720825195","3860","3860","3860","30.707042694091797","30.707042694091797","30.707042694091797"
"2999","3946.5","3946","3947","18.048949241638184","18.014657974243164","18.083240509033203","4061","4061","4061","18.53990936279297","18.53990936279297","18.53990936279297","4062","4062","4062","32.497982025146484","32.497982025146484","32.497982025146484","4062","4062","4062","28.579133987426758","28.579133987426758","28.579133987426758"
"3124","4078.5","4078","4079","16.95067024230957","16.93031120300293","16.97102928161621","4198","4198","4198","17.70032501220703","17.70032501220703","17.70032501220703","4199","4199","4199","30.779943466186523","30.779943466186523","30.779943466186523","4199","4199","4199","27.131521224975586","27.131521224975586","27.131521224975586"
"3249","4275.5","4275","4276","16.015193939208984","16.01047706604004","16.01991081237793","4400","4400","4400","17.04912567138672","17.04912567138672","17.04912567138672","4401","4401","4401","29.389354705810547","29.389354705810547","29.389354705810547","4401","4401","4401","25.612096786499023","25.612096786499023","25.612096786499023"
"3374","4407.5","4407","4408","15.273831367492676","15.265260696411133","15.282402038574219","4537","4537","4537","16.38776397705078","16.38776397705078","16.38776397705078","4538","4538","4538","27.947223663330078","27.947223663330078","27.947223663330078","4538","4538","4538","24.48021697998047","24.48021697998047","24.48021697998047"
"3499","4604.5","4604","4605","14.618631362915039","14.600605010986328","14.63665771484375","4739","4739","4739","15.82968521118164","15.82968521118164","15.82968521118164","4740","4740","4740","26.846750259399414","26.846750259399414","26.846750259399414","4740","4740","4740","23.460678100585938","23.460678100585938","23.460678100585938"
"3624","4736.5","4736","4737","14.035179138183594","13.985580444335938","14.08477783203125","4876","4876","4876","15.379791259765625","15.379791259765625","15.379791259765625","4877","4877","4877","24.90653419494629","24.90653419494629","24.90653419494629","4877","4877","4877","22.583045959472656","22.583045959472656","22.583045959472656"
"3749","4933.5","4933","4934","13.524945259094238","13.482653617858887","13.56723690032959","5078","5078","5078","15.018821716308594","15.018821716308594","15.018821716308594","5079","5079","5079","23.90904998779297","23.90904998779297","23.90904998779297","5079","5079","5079","21.560379028320312","21.560379028320312","21.560379028320312"
