"Step","Group: text1-vision0 - evaluation/blimp/ellipsis","Group: text1-vision0 - evaluation/blimp/ellipsis__MIN","Group: text1-vision0 - evaluation/blimp/ellipsis__MAX","Group: text1-vision100 - evaluation/blimp/ellipsis","Group: text1-vision100 - evaluation/blimp/ellipsis__MIN","Group: text1-vision100 - evaluation/blimp/ellipsis__MAX","Group: text1-vision10 - evaluation/blimp/ellipsis","Group: text1-vision10 - evaluation/blimp/ellipsis__MIN","Group: text1-vision10 - evaluation/blimp/ellipsis__MAX","Group: text1-vision1 - evaluation/blimp/ellipsis","Group: text1-vision1 - evaluation/blimp/ellipsis__MIN","Group: text1-vision1 - evaluation/blimp/ellipsis__MAX","Group: text10-vision1 - evaluation/blimp/ellipsis","Group: text10-vision1 - evaluation/blimp/ellipsis__MIN","Group: text10-vision1 - evaluation/blimp/ellipsis__MAX","Group: text10-vision100 - evaluation/blimp/ellipsis","Group: text10-vision100 - evaluation/blimp/ellipsis__MIN","Group: text10-vision100 - evaluation/blimp/ellipsis__MAX","Group: text10-vision10 - evaluation/blimp/ellipsis","Group: text10-vision10 - evaluation/blimp/ellipsis__MIN","Group: text10-vision10 - evaluation/blimp/ellipsis__MAX","Group: text10-vision0 - evaluation/blimp/ellipsis","Group: text10-vision0 - evaluation/blimp/ellipsis__MIN","Group: text10-vision0 - evaluation/blimp/ellipsis__MAX"
"1147","","","","41.11000061035156","41.11000061035156","41.11000061035156","44.279998779296875","44.279998779296875","44.279998779296875","39.31999969482422","39.31999969482422","39.31999969482422","39.61000061035156","39.61000061035156","39.61000061035156","","","","","","","","",""
"1148","","","","","","","","","","","","","","","","41.7400016784668","41.7400016784668","41.7400016784668","42.959999084472656","42.959999084472656","42.959999084472656","","",""
"1314","39.260000228881836","36.54999923706055","41.970001220703125","","","","","","","","","","","","","","","","","","","","",""
"1315","","","","","","","","","","","","","","","","","","","","","","37.29999923706055","37.29999923706055","37.29999923706055"
"1349","","","","37.63999938964844","37.63999938964844","37.63999938964844","40.650001525878906","40.650001525878906","40.650001525878906","31.579999923706055","31.579999923706055","31.579999923706055","35.7400016784668","35.7400016784668","35.7400016784668","","","","","","","","",""
"1350","","","","","","","","","","","","","","","","37.9900016784668","37.9900016784668","37.9900016784668","39.61000061035156","39.61000061035156","39.61000061035156","","",""
"1446","35.73499870300293","35.619998931884766","35.849998474121094","","","","","","","","","","","","","","","","","","","","",""
"1447","","","","","","","","","","","","","","","","","","","","","","33.95000076293945","33.95000076293945","33.95000076293945"
"1486","","","","30.950000762939453","30.950000762939453","30.950000762939453","33.13999938964844","33.13999938964844","33.13999938964844","33.310001373291016","33.310001373291016","33.310001373291016","38.38999938964844","38.38999938964844","38.38999938964844","","","","","","","","",""
"1487","","","","","","","","","","","","","","","","31.290000915527344","31.290000915527344","31.290000915527344","42.029998779296875","42.029998779296875","42.029998779296875","","",""
"1643","39.31500053405762","38.38999938964844","40.2400016784668","","","","","","","","","","","","","","","","","","","","",""
"1644","","","","","","","","","","","","","","","","","","","","","","40.0099983215332","40.0099983215332","40.0099983215332"
"1688","","","","33.65999984741211","33.65999984741211","33.65999984741211","32.33000183105469","32.33000183105469","32.33000183105469","38.45000076293945","38.45000076293945","38.45000076293945","44.86000061035156","44.86000061035156","44.86000061035156","","","","","","","","",""
"1689","","","","","","","","","","","","","","","","34.40999984741211","34.40999984741211","34.40999984741211","32.220001220703125","32.220001220703125","32.220001220703125","","",""
"1775","45.03499984741211","44.86000061035156","45.209999084472656","","","","","","","","","","","","","","","","","","","","",""
"1776","","","","","","","","","","","","","","","","","","","","","","44.459999084472656","44.459999084472656","44.459999084472656"
"1825","","","","40.41999816894531","40.41999816894531","40.41999816894531","36.20000076293945","36.20000076293945","36.20000076293945","40.9900016784668","40.9900016784668","40.9900016784668","48.959999084472656","48.959999084472656","48.959999084472656","","","","","","","","",""
"1826","","","","","","","","","","","","","","","","37.70000076293945","37.70000076293945","37.70000076293945","35.38999938964844","35.38999938964844","35.38999938964844","","",""
"1972","49.57000160217285","49.310001373291016","49.83000183105469","","","","","","","","","","","","","","","","","","","","",""
"1973","","","","","","","","","","","","","","","","","","","","","","48.72999954223633","48.72999954223633","48.72999954223633"
"2027","","","","41.689998626708984","41.689998626708984","41.689998626708984","38.5099983215332","38.5099983215332","38.5099983215332","44.97999954223633","44.97999954223633","44.97999954223633","54.849998474121094","54.849998474121094","54.849998474121094","","","","","","","","",""
"2028","","","","","","","","","","","","","","","","39.09000015258789","39.09000015258789","39.09000015258789","37.29999923706055","37.29999923706055","37.29999923706055","","",""
"2104","53.31999969482422","52.47999954223633","54.15999984741211","","","","","","","","","","","","","","","","","","","","",""
"2105","","","","","","","","","","","","","","","","","","","","","","53.290000915527344","53.290000915527344","53.290000915527344"
