"Step","Group: text10-vision0 - evaluation/blimp_average","Group: text10-vision0 - evaluation/blimp_average__MIN","Group: text10-vision0 - evaluation/blimp_average__MAX","Group: text1-vision0 - evaluation/blimp_average","Group: text1-vision0 - evaluation/blimp_average__MIN","Group: text1-vision0 - evaluation/blimp_average__MAX","Group: text1-vision100 - evaluation/blimp_average","Group: text1-vision100 - evaluation/blimp_average__MIN","Group: text1-vision100 - evaluation/blimp_average__MAX","Group: text1-vision10 - evaluation/blimp_average","Group: text1-vision10 - evaluation/blimp_average__MIN","Group: text1-vision10 - evaluation/blimp_average__MAX","Group: text1-vision1 - evaluation/blimp_average","Group: text1-vision1 - evaluation/blimp_average__MIN","Group: text1-vision1 - evaluation/blimp_average__MAX","Group: text10-vision1 - evaluation/blimp_average","Group: text10-vision1 - evaluation/blimp_average__MIN","Group: text10-vision1 - evaluation/blimp_average__MAX","Group: text10-vision10 - evaluation/blimp_average","Group: text10-vision10 - evaluation/blimp_average__MIN","Group: text10-vision10 - evaluation/blimp_average__MAX","Group: text10-vision100 - evaluation/blimp_average","Group: text10-vision100 - evaluation/blimp_average__MIN","Group: text10-vision100 - evaluation/blimp_average__MAX"
"2705","","","","","","","61.08250045776367","61.08250045776367","61.08250045776367","61.192501068115234","61.192501068115234","61.192501068115234","59.58333206176758","59.58333206176758","59.58333206176758","63.900001525878906","63.900001525878906","63.900001525878906","","","","","",""
"2706","","","","","","","","","","","","","","","","","","","60.420833587646484","60.420833587646484","60.420833587646484","60.23416519165039","60.23416519165039","60.23416519165039"
"2762","60.99333381652832","60.89250183105469","61.09416580200195","61.813751220703125","61.30083465576172","62.32666778564453","","","","","","","","","","","","","","","","","",""
"2763","61.49166488647461","61.49166488647461","61.49166488647461","","","","","","","","","","","","","","","","","","","","",""
"2842","","","","","","","61.38166809082031","61.38166809082031","61.38166809082031","61.31833267211914","61.31833267211914","61.31833267211914","61.81083297729492","61.81083297729492","61.81083297729492","64.2125015258789","64.2125015258789","64.2125015258789","","","","","",""
"2843","","","","","","","","","","","","","","","","","","","60.836666107177734","60.836666107177734","60.836666107177734","59.625831604003906","59.625831604003906","59.625831604003906"
"2959","62.05291557312012","61.662498474121094","62.44333267211914","61.35624885559082","60.91583251953125","61.79666519165039","","","","","","","","","","","","","","","","","",""
"2960","62.82500076293945","62.82500076293945","62.82500076293945","","","","","","","","","","","","","","","","","","","","",""
"3044","","","","","","","61.910831451416016","61.910831451416016","61.910831451416016","62.141666412353516","62.141666412353516","62.141666412353516","61.72999954223633","61.72999954223633","61.72999954223633","64.49250030517578","64.49250030517578","64.49250030517578","","","","","",""
"3045","","","","","","","","","","","","","","","","","","","61.474998474121094","61.474998474121094","61.474998474121094","60.77333450317383","60.77333450317383","60.77333450317383"
"3091","62.889583587646484","62.151668548583984","63.627498626708984","62.82374954223633","62.79916763305664","62.848331451416016","","","","","","","","","","","","","","","","","",""
"3092","62.959999084472656","62.959999084472656","62.959999084472656","","","","","","","","","","","","","","","","","","","","",""
"3181","","","","","","","61.782501220703125","61.782501220703125","61.782501220703125","61.59583282470703","61.59583282470703","61.59583282470703","63.4283332824707","63.4283332824707","63.4283332824707","64.84500122070312","64.84500122070312","64.84500122070312","","","","","",""
"3182","","","","","","","","","","","","","","","","","","","62.858333587646484","62.858333587646484","62.858333587646484","62.94333267211914","62.94333267211914","62.94333267211914"
"3288","63.011667251586914","62.815834045410156","63.20750045776367","62.68874931335449","62.18583297729492","63.19166564941406","","","","","","","","","","","","","","","","","",""
"3289","64.1050033569336","64.1050033569336","64.1050033569336","","","","","","","","","","","","","","","","","","","","",""
"3383","","","","","","","62.899166107177734","62.899166107177734","62.899166107177734","61.997501373291016","61.997501373291016","61.997501373291016","61.529998779296875","61.529998779296875","61.529998779296875","65.88416290283203","65.88416290283203","65.88416290283203","","","","","",""
"3384","","","","","","","","","","","","","","","","","","","63.36249923706055","63.36249923706055","63.36249923706055","61.14250183105469","61.14250183105469","61.14250183105469"
"3420","63.80083465576172","63.45249938964844","64.149169921875","63.38333320617676","63.18083190917969","63.58583450317383","","","","","","","","","","","","","","","","","",""
"3421","64.65416717529297","64.65416717529297","64.65416717529297","","","","","","","","","","","","","","","","","","","","",""
"3520","","","","","","","62.13666534423828","62.13666534423828","62.13666534423828","62.86166763305664","62.86166763305664","62.86166763305664","63.584999084472656","63.584999084472656","63.584999084472656","66.53166961669922","66.53166961669922","66.53166961669922","","","","","",""
"3521","","","","","","","","","","","","","","","","","","","63.38333511352539","63.38333511352539","63.38333511352539","62.108333587646484","62.108333587646484","62.108333587646484"
"3617","64.33625030517578","64.12916564941406","64.5433349609375","63.46791648864746","63.342498779296875","63.59333419799805","","","","","","","","","","","","","","","","","",""
"3618","65.04666900634766","65.04666900634766","65.04666900634766","","","","","","","","","","","","","","","","","","","","",""
"3722","","","","","","","63.54833221435547","63.54833221435547","63.54833221435547","63.21333312988281","63.21333312988281","63.21333312988281","63.78166580200195","63.78166580200195","63.78166580200195","66.55750274658203","66.55750274658203","66.55750274658203","","","","","",""
"3723","","","","","","","","","","","","","","","","","","","64.35832977294922","64.35832977294922","64.35832977294922","64.08916473388672","64.08916473388672","64.08916473388672"
"3749","64.5495834350586","64.25666809082031","64.84249877929688","63.80791473388672","63.58833312988281","64.02749633789062","","","","","","","","","","","","","","","","","",""
"3750","66.20833587646484","66.20833587646484","66.20833587646484","","","","","","","","","","","","","","","","","","","","",""
"3859","","","","","","","63.5191650390625","63.5191650390625","63.5191650390625","62.628334045410156","62.628334045410156","62.628334045410156","63.31666564941406","63.31666564941406","63.31666564941406","66.55333709716797","66.55333709716797","66.55333709716797","","","","","",""
"3860","","","","","","","","","","","","","","","","","","","64.45500183105469","64.45500183105469","64.45500183105469","63.690834045410156","63.690834045410156","63.690834045410156"
"3946","65.15583419799805","64.6058349609375","65.7058334350586","64.55166625976562","64.21416473388672","64.88916778564453","","","","","","","","","","","","","","","","","",""
"3947","67.23833465576172","67.23833465576172","67.23833465576172","","","","","","","","","","","","","","","","","","","","",""
"4061","","","","","","","63.563331604003906","63.563331604003906","63.563331604003906","62.71500015258789","62.71500015258789","62.71500015258789","63.47249984741211","63.47249984741211","63.47249984741211","66.27249908447266","66.27249908447266","66.27249908447266","","","","","",""
"4062","","","","","","","","","","","","","","","","","","","64.40499877929688","64.40499877929688","64.40499877929688","62.936668395996094","62.936668395996094","62.936668395996094"
"4078","66.03583526611328","65.97333526611328","66.09833526611328","63.8025016784668","63.52916717529297","64.07583618164062","","","","","","","","","","","","","","","","","",""
"4079","67.14250183105469","67.14250183105469","67.14250183105469","","","","","","","","","","","","","","","","","","","","",""
"4198","","","","","","","63.970001220703125","63.970001220703125","63.970001220703125","62.67416763305664","62.67416763305664","62.67416763305664","63.99250030517578","63.99250030517578","63.99250030517578","66.9000015258789","66.9000015258789","66.9000015258789","","","","","",""
"4199","","","","","","","","","","","","","","","","","","","65.25916290283203","65.25916290283203","65.25916290283203","64.55999755859375","64.55999755859375","64.55999755859375"
"4275","66.03666687011719","65.4375","66.63583374023438","63.64999961853027","63.315834045410156","63.98416519165039","","","","","","","","","","","","","","","","","",""
"4276","67.02916717529297","67.02916717529297","67.02916717529297","","","","","","","","","","","","","","","","","","","","",""
"4400","","","","","","","64.17666625976562","64.17666625976562","64.17666625976562","62.70333480834961","62.70333480834961","62.70333480834961","63.750831604003906","63.750831604003906","63.750831604003906","66.49166870117188","66.49166870117188","66.49166870117188","","","","","",""
"4401","","","","","","","","","","","","","","","","","","","65.0824966430664","65.0824966430664","65.0824966430664","64.15333557128906","64.15333557128906","64.15333557128906"
"4407","66.14874649047852","65.3324966430664","66.96499633789062","64.24958419799805","64.24500274658203","64.25416564941406","","","","","","","","","","","","","","","","","",""
"4408","67.09083557128906","67.09083557128906","67.09083557128906","","","","","","","","","","","","","","","","","","","","",""
"4537","","","","","","","64.63166809082031","64.63166809082031","64.63166809082031","63.46916580200195","63.46916580200195","63.46916580200195","","","","66.99083709716797","66.99083709716797","66.99083709716797","","","","","",""
"4538","","","","","","","","","","","","","","","","","","","65.8941650390625","65.8941650390625","65.8941650390625","63.934165954589844","63.934165954589844","63.934165954589844"
"4604","66.43583297729492","66.3758316040039","66.49583435058594","63.95708084106445","63.6441650390625","64.2699966430664","","","","","","","","","","","","","","","","","",""
"4605","67.9124984741211","67.9124984741211","67.9124984741211","","","","","","","","","","","","","","","","","","","","",""
"4668","","","","","","","","","","","","","63.189998626708984","63.189998626708984","63.189998626708984","","","","","","","","",""
"4736","66.71916961669922","66.70417022705078","66.73416900634766","63.63708305358887","63.599998474121094","63.67416763305664","","","","","","","","","","","","","","","","","",""
"4737","67.9749984741211","67.9749984741211","67.9749984741211","","","","","","","","","","","","","","","","","","","","",""
"4739","","","","","","","64.94916534423828","64.94916534423828","64.94916534423828","63.938331604003906","63.938331604003906","63.938331604003906","","","","67.56999969482422","67.56999969482422","67.56999969482422","","","","","",""
"4740","","","","","","","","","","","","","","","","","","","66.43250274658203","66.43250274658203","66.43250274658203","64.28333282470703","64.28333282470703","64.28333282470703"
"4870","","","","","","","","","","","","","64.70083618164062","64.70083618164062","64.70083618164062","","","","","","","","",""
"4876","","","","","","","64.5250015258789","64.5250015258789","64.5250015258789","63.31083297729492","63.31083297729492","63.31083297729492","","","","68.27666473388672","68.27666473388672","68.27666473388672","","","","","",""
"4877","","","","","","","","","","","","","","","","","","","66.35166931152344","66.35166931152344","66.35166931152344","65.40333557128906","65.40333557128906","65.40333557128906"
"4933","66.88624954223633","66.21499633789062","67.55750274658203","63.737083435058594","63.5716667175293","63.90250015258789","","","","","","","","","","","","","","","","","",""
"4934","68.09083557128906","68.09083557128906","68.09083557128906","","","","","","","","","","","","","","","","","","","","",""
"5007","","","","","","","","","","","","","63.279998779296875","63.279998779296875","63.279998779296875","","","","","","","","",""
"5065","66.99333572387695","66.36250305175781","67.6241683959961","63.5845832824707","63.29999923706055","63.86916732788086","","","","","","","","","","","","","","","","","",""
"5066","67.8941650390625","67.8941650390625","67.8941650390625","","","","","","","","","","","","","","","","","","","","",""
"5078","","","","","","","64.11666870117188","64.11666870117188","64.11666870117188","62.87333297729492","62.87333297729492","62.87333297729492","","","","67.5808334350586","67.5808334350586","67.5808334350586","","","","","",""
"5079","","","","","","","","","","","","","","","","","","","66.55999755859375","66.55999755859375","66.55999755859375","64.93333435058594","64.93333435058594","64.93333435058594"
"5209","","","","","","","","","","","","","63.92333221435547","63.92333221435547","63.92333221435547","","","","","","","","",""
"5215","","","","","","","64.6441650390625","64.6441650390625","64.6441650390625","62.8316650390625","62.8316650390625","62.8316650390625","","","","67.85416412353516","67.85416412353516","67.85416412353516","","","","","",""
"5216","","","","","","","","","","","","","","","","","","","66.26166534423828","66.26166534423828","66.26166534423828","65.1624984741211","65.1624984741211","65.1624984741211"
"5262","67.29666519165039","66.54499816894531","68.04833221435547","62.88750076293945","62.81999969482422","62.95500183105469","","","","","","","","","","","","","","","","","",""
"5263","68.07499694824219","68.07499694824219","68.07499694824219","","","","","","","","","","","","","","","","","","","","",""
"5264","","","","62.95500183105469","62.95500183105469","62.95500183105469","","","","","","","","","","","","","","","","","",""
"5346","","","","","","","","","","","","","63.983333587646484","63.983333587646484","63.983333587646484","","","","","","","","",""
"5394","67.03166580200195","67.00916290283203","67.05416870117188","63.33333206176758","63.33333206176758","63.33333206176758","","","","","","","","","","","","","","","","","",""
"5395","68.38749694824219","68.38749694824219","68.38749694824219","","","","","","","","","","","","","","","","","","","","",""
"5417","","","","","","","64.48416900634766","64.48416900634766","64.48416900634766","62.84749984741211","62.84749984741211","62.84749984741211","","","","67.9574966430664","67.9574966430664","67.9574966430664","","","","","",""
"5418","","","","","","","","","","","","","","","","","","","66.41583251953125","66.41583251953125","66.41583251953125","66.47250366210938","66.47250366210938","66.47250366210938"
"5548","","","","","","","","","","","","","63.787498474121094","63.787498474121094","63.787498474121094","","","","","","","","",""
"5554","","","","","","","65.19833374023438","65.19833374023438","65.19833374023438","63.16999816894531","63.16999816894531","63.16999816894531","","","","68.73416900634766","68.73416900634766","68.73416900634766","","","","","",""
"5555","","","","","","","","","","","","","","","","","","","67.336669921875","67.336669921875","67.336669921875","66.0999984741211","66.0999984741211","66.0999984741211"
"5591","67.89666748046875","67.80833435058594","67.98500061035156","","","","","","","","","","","","","","","","","","","","",""
"5592","69.38999938964844","69.38999938964844","69.38999938964844","","","","","","","","","","","","","","","","","","","","",""
"5685","","","","","","","","","","","","","64.09916687011719","64.09916687011719","64.09916687011719","","","","","","","","",""
"5723","67.31208419799805","66.56500244140625","68.05916595458984","","","","","","","","","","","","","","","","","","","","",""
"5724","67.97750091552734","67.97750091552734","67.97750091552734","","","","","","","","","","","","","","","","","","","","",""
"5756","","","","","","","65.17500305175781","65.17500305175781","65.17500305175781","62.621665954589844","62.621665954589844","62.621665954589844","","","","68.3183364868164","68.3183364868164","68.3183364868164","","","","","",""
"5757","","","","","","","","","","","","","","","","","","","66.75416564941406","66.75416564941406","66.75416564941406","65.93333435058594","65.93333435058594","65.93333435058594"
"5887","","","","","","","","","","","","","64.17333221435547","64.17333221435547","64.17333221435547","","","","","","","","",""
"5893","","","","","","","63.95833206176758","63.95833206176758","63.95833206176758","63.4566650390625","63.4566650390625","63.4566650390625","","","","68.35749816894531","68.35749816894531","68.35749816894531","","","","","",""
"5894","","","","","","","","","","","","","","","","","","","67.10832977294922","67.10832977294922","67.10832977294922","66.70999908447266","66.70999908447266","66.70999908447266"
"5920","67.77000045776367","67.29916381835938","68.24083709716797","","","","","","","","","","","","","","","","","","","","",""
"5921","69.0199966430664","69.0199966430664","69.0199966430664","","","","","","","","","","","","","","","","","","","","",""
"6024","","","","","","","","","","","","","64.5433349609375","64.5433349609375","64.5433349609375","","","","","","","","",""
"6052","67.28041458129883","67.15249633789062","67.40833282470703","","","","","","","","","","","","","","","","","","","","",""
"6053","68.93583679199219","68.93583679199219","68.93583679199219","","","","","","","","","","","","","","","","","","","","",""
"6095","","","","","","","64.05833435058594","64.05833435058594","64.05833435058594","62.82833480834961","62.82833480834961","62.82833480834961","","","","68.35749816894531","68.35749816894531","68.35749816894531","","","","","",""
"6096","","","","","","","","","","","","","","","","","","","67.72000122070312","67.72000122070312","67.72000122070312","66.63333129882812","66.63333129882812","66.63333129882812"
"6226","","","","","","","","","","","","","65.35250091552734","65.35250091552734","65.35250091552734","","","","","","","","",""
"6232","","","","","","","64.38749694824219","64.38749694824219","64.38749694824219","63.962501525878906","63.962501525878906","63.962501525878906","","","","","","","","","","","",""
"6233","","","","","","","","","","","","","","","","68.07166290283203","68.07166290283203","68.07166290283203","67.11666870117188","67.11666870117188","67.11666870117188","66.67833709716797","66.67833709716797","66.67833709716797"
"6249","68.04750061035156","67.93083190917969","68.16416931152344","","","","","","","","","","","","","","","","","","","","",""
"6250","69.59333038330078","69.59333038330078","69.59333038330078","","","","","","","","","","","","","","","","","","","","",""
"6363","","","","","","","","","","","","","64.69916534423828","64.69916534423828","64.69916534423828","","","","","","","","",""
"6381","67.99541854858398","67.07917022705078","68.91166687011719","","","","","","","","","","","","","","","","","","","","",""
"6382","68.83583068847656","68.83583068847656","68.83583068847656","","","","","","","","","","","","","","","","","","","","",""
"6434","","","","","","","64.36499786376953","64.36499786376953","64.36499786376953","64.06749725341797","64.06749725341797","64.06749725341797","","","","","","","","","","","",""
"6435","","","","","","","","","","","","","","","","67.75916290283203","67.75916290283203","67.75916290283203","67.7441635131836","67.7441635131836","67.7441635131836","67.12083435058594","67.12083435058594","67.12083435058594"
"6565","","","","","","","","","","","","","64.78416442871094","64.78416442871094","64.78416442871094","","","","","","","","",""
"6571","","","","","","","64.41500091552734","64.41500091552734","64.41500091552734","64.20417022705078","64.20417022705078","64.20417022705078","","","","","","","","","","","",""
"6572","","","","","","","","","","","","","","","","68.31583404541016","68.31583404541016","68.31583404541016","67.72000122070312","67.72000122070312","67.72000122070312","67.71749877929688","67.71749877929688","67.71749877929688"
"6578","67.875","67.09166717529297","68.65833282470703","","","","","","","","","","","","","","","","","","","","",""
"6579","69.55916595458984","69.55916595458984","69.55916595458984","","","","","","","","","","","","","","","","","","","","",""
"6702","","","","","","","","","","","","","65.59833526611328","65.59833526611328","65.59833526611328","","","","","","","","",""
