"trainer/global_step","Group: text1-vision0 - _step","Group: text1-vision0 - _step__MIN","Group: text1-vision0 - _step__MAX","Group: text1-vision0 - evaluation/pseudo_perplexity","Group: text1-vision0 - evaluation/pseudo_perplexity__MIN","Group: text1-vision0 - evaluation/pseudo_perplexity__MAX","Group: text1-vision100 - _step","Group: text1-vision100 - _step__MIN","Group: text1-vision100 - _step__MAX","Group: text1-vision100 - evaluation/pseudo_perplexity","Group: text1-vision100 - evaluation/pseudo_perplexity__MIN","Group: text1-vision100 - evaluation/pseudo_perplexity__MAX","Group: text1-vision10 - _step","Group: text1-vision10 - _step__MIN","Group: text1-vision10 - _step__MAX","Group: text1-vision10 - evaluation/pseudo_perplexity","Group: text1-vision10 - evaluation/pseudo_perplexity__MIN","Group: text1-vision10 - evaluation/pseudo_perplexity__MAX","Group: text1-vision1 - _step","Group: text1-vision1 - _step__MIN","Group: text1-vision1 - _step__MAX","Group: text1-vision1 - evaluation/pseudo_perplexity","Group: text1-vision1 - evaluation/pseudo_perplexity__MIN","Group: text1-vision1 - evaluation/pseudo_perplexity__MAX"
"6374","","","","","","","8605","8605","8605","22.00585174560547","22.00585174560547","22.00585174560547","","","","","","","","","","","",""
"6499","","","","","","","8807","8807","8807","22.298049926757812","22.298049926757812","22.298049926757812","","","","","","","","","","","",""
"6624","","","","","","","8944","8944","8944","22.639799118041992","22.639799118041992","22.639799118041992","","","","","","","","","","","",""
"6749","","","","","","","9146","9146","9146","22.162242889404297","22.162242889404297","22.162242889404297","","","","","","","","","","","",""
"6874","","","","","","","9283","9283","9283","22.422494888305664","22.422494888305664","22.422494888305664","","","","","","","","","","","",""
"6999","","","","","","","9485","9485","9485","22.48522186279297","22.48522186279297","22.48522186279297","","","","","","","","","","","",""
"7124","","","","","","","9622","9622","9622","22.785327911376953","22.785327911376953","22.785327911376953","","","","","","","","","","","",""
"7249","","","","","","","9824","9824","9824","22.56365966796875","22.56365966796875","22.56365966796875","","","","","","","","","","","",""
"7374","","","","","","","9961","9961","9961","22.560253143310547","22.560253143310547","22.560253143310547","","","","","","","","","","","",""
"7499","","","","","","","10163","10163","10163","22.932384490966797","22.932384490966797","22.932384490966797","","","","","","","","","","","",""
