"Step","Group: text1-vision100 - evaluation/blimp/irregular_forms","Group: text1-vision100 - evaluation/blimp/irregular_forms__MIN","Group: text1-vision100 - evaluation/blimp/irregular_forms__MAX","Group: text1-vision10 - evaluation/blimp/irregular_forms","Group: text1-vision10 - evaluation/blimp/irregular_forms__MIN","Group: text1-vision10 - evaluation/blimp/irregular_forms__MAX","Group: text10-vision10 - evaluation/blimp/irregular_forms","Group: text10-vision10 - evaluation/blimp/irregular_forms__MIN","Group: text10-vision10 - evaluation/blimp/irregular_forms__MAX","Group: text10-vision100 - evaluation/blimp/irregular_forms","Group: text10-vision100 - evaluation/blimp/irregular_forms__MIN","Group: text10-vision100 - evaluation/blimp/irregular_forms__MAX","Group: text1-vision1 - evaluation/blimp/irregular_forms","Group: text1-vision1 - evaluation/blimp/irregular_forms__MIN","Group: text1-vision1 - evaluation/blimp/irregular_forms__MAX","Group: text10-vision1 - evaluation/blimp/irregular_forms","Group: text10-vision1 - evaluation/blimp/irregular_forms__MIN","Group: text10-vision1 - evaluation/blimp/irregular_forms__MAX","Group: text10-vision0 - evaluation/blimp/irregular_forms","Group: text10-vision0 - evaluation/blimp/irregular_forms__MIN","Group: text10-vision0 - evaluation/blimp/irregular_forms__MAX","Group: text1-vision0 - evaluation/blimp/irregular_forms","Group: text1-vision0 - evaluation/blimp/irregular_forms__MIN","Group: text1-vision0 - evaluation/blimp/irregular_forms__MAX"
"2396","75.9800033569336","75.9800033569336","75.9800033569336","74.3499984741211","74.3499984741211","74.3499984741211","","","","","","","","","","","","","","","","","",""
"2402","","","","","","","76.79000091552734","76.79000091552734","76.79000091552734","81.4800033569336","81.4800033569336","81.4800033569336","","","","","","","","","","","",""
"2437","","","","","","","","","","","","","","","","","","","74.05000305175781","74.05000305175781","74.05000305175781","","",""
"2450","","","","","","","","","","","","","74.91000366210938","74.91000366210938","74.91000366210938","","","","","","","","",""
"2480","","","","","","","","","","","","","","","","","","","","","","76.12999725341797","76.12999725341797","76.12999725341797"
"2507","","","","","","","","","","","","","","","","78.31999969482422","78.31999969482422","78.31999969482422","","","","","",""
"2543","","","","","","","","","","","","","74.80999755859375","74.80999755859375","74.80999755859375","","","","","","","","",""
"2547","77.86000061035156","77.86000061035156","77.86000061035156","74.70999908447266","74.70999908447266","74.70999908447266","","","","","","","","","","","","","","","","","",""
"2574","","","","","","","81.83000183105469","81.83000183105469","81.83000183105469","81.58000183105469","81.58000183105469","81.58000183105469","","","","","","","","","","","",""
"2611","","","","","","","","","","","","","","","","","","","74.66000366210938","74.66000366210938","74.66000366210938","76.48999786376953","76.48999786376953","76.48999786376953"
"2614","","","","","","","81.77999877929688","81.77999877929688","81.77999877929688","","","","","","","","","","","","","","",""
"2686","","","","","","","","","","","","","","","","78.31999969482422","78.31999969482422","78.31999969482422","","","","","",""
"2700","","","","","","","","","","84.4800033569336","84.4800033569336","84.4800033569336","","","","","","","","","","","",""
"2722","","","","","","","","","","","","","76.27999877929688","76.27999877929688","76.27999877929688","","","","","","","","",""
"2734","76.2300033569336","76.2300033569336","76.2300033569336","78.41999816894531","78.41999816894531","78.41999816894531","","","","","","","","","","","","","","","","","",""
"2785","","","","","","","","","","","","","","","","","","","79.69000244140625","79.69000244140625","79.69000244140625","79.19000244140625","79.19000244140625","79.19000244140625"
"2793","","","","","","","80.45999908447266","80.45999908447266","80.45999908447266","","","","","","","","","","","","","","",""
"2865","","","","","","","","","","","","","","","","78.0199966430664","78.0199966430664","78.0199966430664","","","","","",""
"2873","","","","","","","","","","","","","","","","","","","79.9000015258789","79.9000015258789","79.9000015258789","","",""
"2879","","","","","","","","","","81.12000274658203","81.12000274658203","81.12000274658203","","","","","","","","","","","",""
"2885","75.47000122070312","75.47000122070312","75.47000122070312","74.76000213623047","74.76000213623047","74.76000213623047","","","","","","","","","","","","","","","","","",""
"2901","","","","","","","","","","","","","73.33000183105469","73.33000183105469","73.33000183105469","","","","","","","","",""
"2958","","","","","","","","","","","","","","","","77.4000015258789","77.4000015258789","77.4000015258789","","","","","",""
"2959","","","","","","","","","","","","","","","","","","","","","","80.61000061035156","80.61000061035156","80.61000061035156"
