"Step","Group: text1-vision10 - evaluation/blimp/anaphor_agreement","Group: text1-vision10 - evaluation/blimp/anaphor_agreement__MIN","Group: text1-vision10 - evaluation/blimp/anaphor_agreement__MAX","Group: text10-vision100 - evaluation/blimp/anaphor_agreement","Group: text10-vision100 - evaluation/blimp/anaphor_agreement__MIN","Group: text10-vision100 - evaluation/blimp/anaphor_agreement__MAX","Group: text1-vision100 - evaluation/blimp/anaphor_agreement","Group: text1-vision100 - evaluation/blimp/anaphor_agreement__MIN","Group: text1-vision100 - evaluation/blimp/anaphor_agreement__MAX","Group: text10-vision10 - evaluation/blimp/anaphor_agreement","Group: text10-vision10 - evaluation/blimp/anaphor_agreement__MIN","Group: text10-vision10 - evaluation/blimp/anaphor_agreement__MAX","Group: text1-vision1 - evaluation/blimp/anaphor_agreement","Group: text1-vision1 - evaluation/blimp/anaphor_agreement__MIN","Group: text1-vision1 - evaluation/blimp/anaphor_agreement__MAX","Group: text10-vision1 - evaluation/blimp/anaphor_agreement","Group: text10-vision1 - evaluation/blimp/anaphor_agreement__MIN","Group: text10-vision1 - evaluation/blimp/anaphor_agreement__MAX","Group: text10-vision0 - evaluation/blimp/anaphor_agreement","Group: text10-vision0 - evaluation/blimp/anaphor_agreement__MIN","Group: text10-vision0 - evaluation/blimp/anaphor_agreement__MAX","Group: text1-vision0 - evaluation/blimp/anaphor_agreement","Group: text1-vision0 - evaluation/blimp/anaphor_agreement__MIN","Group: text1-vision0 - evaluation/blimp/anaphor_agreement__MAX"
"2306","","","","","","","","","","","","","","","","","","","","","","75.05000305175781","75.05000305175781","75.05000305175781"
"2328","","","","","","","","","","","","","","","","58.029998779296875","58.029998779296875","58.029998779296875","","","","","",""
"2396","69.4800033569336","69.4800033569336","69.4800033569336","","","","71.83000183105469","71.83000183105469","71.83000183105469","","","","","","","","","","","","","","",""
"2402","","","","79.19000244140625","79.19000244140625","79.19000244140625","","","","82.26000213623047","82.26000213623047","82.26000213623047","","","","","","","","","","","",""
"2437","","","","","","","","","","","","","","","","","","","47.189998626708984","47.189998626708984","47.189998626708984","","",""
"2450","","","","","","","","","","","","","58.790000915527344","58.790000915527344","58.790000915527344","","","","","","","","",""
"2480","","","","","","","","","","","","","","","","","","","","","","78.83000183105469","78.83000183105469","78.83000183105469"
"2507","","","","","","","","","","","","","","","","51.33000183105469","51.33000183105469","51.33000183105469","","","","","",""
"2543","","","","","","","","","","","","","56.08000183105469","56.08000183105469","56.08000183105469","","","","","","","","",""
"2547","76.06999969482422","76.06999969482422","76.06999969482422","","","","77.0999984741211","77.0999984741211","77.0999984741211","","","","","","","","","","","","","","",""
"2574","","","","81.23999786376953","81.23999786376953","81.23999786376953","","","","84.45999908447266","84.45999908447266","84.45999908447266","","","","","","","","","","","",""
"2611","","","","","","","","","","","","","","","","","","","47.09000015258789","47.09000015258789","47.09000015258789","77.1500015258789","77.1500015258789","77.1500015258789"
"2614","","","","","","","","","","84.41000366210938","84.41000366210938","84.41000366210938","","","","","","","","","","","",""
"2686","","","","","","","","","","","","","","","","59.81999969482422","59.81999969482422","59.81999969482422","","","","","",""
"2700","","","","79.5","79.5","79.5","","","","","","","","","","","","","","","","","",""
"2722","","","","","","","","","","","","","53.630001068115234","53.630001068115234","53.630001068115234","","","","","","","","",""
"2734","73.16000366210938","73.16000366210938","73.16000366210938","","","","71.41999816894531","71.41999816894531","71.41999816894531","","","","","","","","","","","","","","",""
"2785","","","","","","","","","","","","","","","","","","","52.040000915527344","52.040000915527344","52.040000915527344","78.98999786376953","78.98999786376953","78.98999786376953"
"2793","","","","","","","","","","82.45999908447266","82.45999908447266","82.45999908447266","","","","","","","","","","","",""
"2865","","","","","","","","","","","","","","","","60.06999969482422","60.06999969482422","60.06999969482422","","","","","",""
"2873","","","","","","","","","","","","","","","","","","","54.75","54.75","54.75","","",""
"2879","","","","78.83000183105469","78.83000183105469","78.83000183105469","","","","","","","","","","","","","","","","","",""
"2885","73.5199966430664","73.5199966430664","73.5199966430664","","","","71.2699966430664","71.2699966430664","71.2699966430664","","","","","","","","","","","","","","",""
"2901","","","","","","","","","","","","","52.150001525878906","52.150001525878906","52.150001525878906","","","","","","","","",""
"2958","","","","","","","","","","","","","","","","59.5099983215332","59.5099983215332","59.5099983215332","","","","","",""
"2959","","","","","","","","","","","","","","","","","","","","","","81.33999633789062","81.33999633789062","81.33999633789062"
"2972","","","","","","","","","","79.95999908447266","79.95999908447266","79.95999908447266","","","","","","","","","","","",""
"3047","","","","","","","","","","","","","","","","","","","59.5099983215332","59.5099983215332","59.5099983215332","","",""
"3058","","","","82.81999969482422","82.81999969482422","82.81999969482422","","","","","","","","","","","","","","","","","",""
"3072","77.76000213623047","77.76000213623047","77.76000213623047","","","","75.61000061035156","75.61000061035156","75.61000061035156","","","","","","","","","","","","","","",""
"3080","","","","","","","","","","","","","53.47999954223633","53.47999954223633","53.47999954223633","","","","","","","","",""
"3133","","","","","","","","","","","","","","","","","","","","","","80.77999877929688","80.77999877929688","80.77999877929688"
"3137","","","","","","","","","","","","","","","","61.810001373291016","61.810001373291016","61.810001373291016","","","","","",""
"3151","","","","","","","","","","83.02999877929688","83.02999877929688","83.02999877929688","","","","","","","","","","","",""
"3221","","","","","","","","","","","","","","","","","","","60.939998626708984","60.939998626708984","60.939998626708984","","",""
"3223","81.94999694824219","81.94999694824219","81.94999694824219","","","","72.95999908447266","72.95999908447266","72.95999908447266","","","","","","","","","","","","","","",""
"3237","","","","83.37999725341797","83.37999725341797","83.37999725341797","","","","","","","","","","","","","","","","","",""
"3259","","","","","","","","","","","","","53.630001068115234","53.630001068115234","53.630001068115234","","","","","","","","",""
"3307","","","","","","","","","","","","","","","","","","","","","","80.47000122070312","80.47000122070312","80.47000122070312"
"3316","","","","","","","","","","","","","","","","65.94999694824219","65.94999694824219","65.94999694824219","","","","","",""
"3330","","","","","","","","","","86.61000061035156","86.61000061035156","86.61000061035156","","","","","","","","","","","",""
"3395","","","","","","","","","","","","","","","","","","","65.63999938964844","65.63999938964844","65.63999938964844","","",""
"3410","80.31999969482422","80.31999969482422","80.31999969482422","","","","72.44000244140625","72.44000244140625","72.44000244140625","","","","","","","","","","","","","","",""
"3416","","","","86.55000305175781","86.55000305175781","86.55000305175781","","","","","","","","","","","","","","","","","",""
"3438","","","","","","","","","","","","","54.90999984741211","54.90999984741211","54.90999984741211","","","","","","","","",""
"3481","","","","","","","","","","","","","","","","","","","","","","76.94000244140625","76.94000244140625","76.94000244140625"
"3495","","","","","","","","","","","","","","","","71.31999969482422","71.31999969482422","71.31999969482422","","","","","",""
"3509","","","","","","","","","","82.16000366210938","82.16000366210938","82.16000366210938","","","","","","","","","","","",""
"3569","","","","","","","","","","","","","","","","","","","67.27999877929688","67.27999877929688","67.27999877929688","","",""
"3595","","","","83.2300033569336","83.2300033569336","83.2300033569336","","","","","","","","","","","","","","","","","",""
"3597","82.41000366210938","82.41000366210938","82.41000366210938","","","","78.58000183105469","78.58000183105469","78.58000183105469","","","","","","","","","","","","","","",""
"3612","","","","","","","","","","","","","","","","","","","","","","75.81999969482422","75.81999969482422","75.81999969482422"
"3617","","","","","","","","","","","","","60.47999954223633","60.47999954223633","60.47999954223633","","","","","","","","",""
"3674","","","","","","","","","","","","","","","","72.33999633789062","72.33999633789062","72.33999633789062","","","","","",""
"3688","","","","","","","","","","88.6500015258789","88.6500015258789","88.6500015258789","","","","","","","","","","","",""
"3743","","","","","","","","","","","","","","","","","","","69.7300033569336","69.7300033569336","69.7300033569336","","",""
"3748","78.06999969482422","78.06999969482422","78.06999969482422","","","","74.38999938964844","74.38999938964844","74.38999938964844","","","","","","","","","","","","","","",""
"3774","","","","87.52999877929688","87.52999877929688","87.52999877929688","","","","","","","","","","","","","","","","","",""
"3781","","","","","","","","","","88.5999984741211","88.5999984741211","88.5999984741211","","","","","","","","","","","",""
"3786","","","","","","","","","","","","","","","","","","","","","","75.87000274658203","75.87000274658203","75.87000274658203"
"3796","","","","","","","","","","","","","60.84000015258789","60.84000015258789","60.84000015258789","","","","","","","","",""
"3853","","","","","","","","","","","","","","","","68.97000122070312","68.97000122070312","68.97000122070312","","","","","",""
"3917","","","","","","","","","","","","","","","","","","","64.9800033569336","64.9800033569336","64.9800033569336","","",""
"3935","79.6500015258789","79.6500015258789","79.6500015258789","","","","75.7699966430664","75.7699966430664","75.7699966430664","","","","","","","","","","","","","","",""
"3949","","","","","","","","","","","","","60.47999954223633","60.47999954223633","60.47999954223633","","","","","","","","",""
"3953","","","","85.83999633789062","85.83999633789062","85.83999633789062","","","","","","","","","","","","","","","","","",""
"3960","","","","","","","","","","87.77999877929688","87.77999877929688","87.77999877929688","","","","","","","","","","71.7300033569336","71.7300033569336","71.7300033569336"
"4032","","","","","","","","","","","","","","","","66.81999969482422","66.81999969482422","66.81999969482422","","","","","",""
"4046","","","","84.70999908447266","84.70999908447266","84.70999908447266","","","","","","","","","","","","","","","","","",""
"4068","","","","","","","","","","","","","62.68000030517578","62.68000030517578","62.68000030517578","","","","","","","","",""
"4086","82.62000274658203","82.62000274658203","82.62000274658203","","","","79.69999694824219","79.69999694824219","79.69999694824219","","","","","","","","","","","","","","",""
"4091","","","","","","","","","","","","","","","","","","","71.05999755859375","71.05999755859375","71.05999755859375","","",""
"4134","","","","","","","","","","","","","","","","","","","","","","70.19000244140625","70.19000244140625","70.19000244140625"
"4139","","","","","","","","","","85.33000183105469","85.33000183105469","85.33000183105469","","","","","","","","","","","",""
"4179","","","","","","","","","","","","","","","","","","","71.7300033569336","71.7300033569336","71.7300033569336","","",""
"4211","","","","","","","","","","","","","","","","70.6500015258789","70.6500015258789","70.6500015258789","","","","","",""
"4225","","","","82.16000366210938","82.16000366210938","82.16000366210938","","","","","","","","","","","","","","","","","",""
"4247","","","","","","","","","","","","","65.8499984741211","65.8499984741211","65.8499984741211","","","","","","","","",""
"4273","82.11000061035156","82.11000061035156","82.11000061035156","","","","80.7300033569336","80.7300033569336","80.7300033569336","","","","","","","","","","","","","","",""
"4304","","","","","","","","","","","","","","","","71.05999755859375","71.05999755859375","71.05999755859375","","","","","",""
"4308","","","","","","","","","","","","","","","","","","","","","","72.9000015258789","72.9000015258789","72.9000015258789"
"4318","","","","","","","","","","83.83999633789062","83.83999633789062","83.83999633789062","","","","","","","","","","","",""
"4353","","","","","","","","","","","","","","","","","","","75.51000213623047","75.51000213623047","75.51000213623047","","",""
"4404","","","","86.44999694824219","86.44999694824219","86.44999694824219","","","","","","","","","","","","","","","","","",""
"4424","82.20999908447266","82.20999908447266","82.20999908447266","","","","76.58000183105469","76.58000183105469","76.58000183105469","","","","","","","","","","","","","","",""
"4426","","","","","","","","","","","","","63.2400016784668","63.2400016784668","63.2400016784668","","","","","","","","",""
"4439","","","","","","","","","","","","","","","","","","","","","","72.08999633789062","72.08999633789062","72.08999633789062"
"4483","","","","","","","","","","","","","","","","78.52999877929688","78.52999877929688","78.52999877929688","","","","","",""
"4497","","","","","","","","","","86.44999694824219","86.44999694824219","86.44999694824219","","","","","","","","","","","",""
"4527","","","","","","","","","","","","","","","","","","","74.73999786376953","74.73999786376953","74.73999786376953","","",""
"4583","","","","84.0999984741211","84.0999984741211","84.0999984741211","","","","","","","","","","","","","","","","","",""
"4605","","","","","","","","","","","","","65.69999694824219","65.69999694824219","65.69999694824219","","","","","","","","",""
"4611","83.2300033569336","83.2300033569336","83.2300033569336","","","","76.88999938964844","76.88999938964844","76.88999938964844","","","","","","","","","","","","","","",""
"4613","","","","","","","","","","","","","","","","","","","","","","77.61000061035156","77.61000061035156","77.61000061035156"
"4662","","","","","","","","","","","","","","","","81.19000244140625","81.19000244140625","81.19000244140625","","","","","",""
"4676","","","","","","","","","","86.08999633789062","86.08999633789062","86.08999633789062","","","","","","","","","","","",""
"4701","","","","","","","","","","","","","","","","","","","77.66000366210938","77.66000366210938","77.66000366210938","","",""
"4762","","","","90.80000305175781","90.80000305175781","90.80000305175781","","","","","","","","","","","","","","","","","",""
"4784","","","","","","","","","","","","","68.55999755859375","68.55999755859375","68.55999755859375","","","","","","","","",""
"4787","","","","","","","","","","","","","","","","","","","","","","74.27999877929688","74.27999877929688","74.27999877929688"
"4798","80.56999969482422","80.56999969482422","80.56999969482422","","","","85.4800033569336","85.4800033569336","85.4800033569336","","","","","","","","","","","","","","",""
"4841","","","","","","","","","","","","","","","","78.43000030517578","78.43000030517578","78.43000030517578","","","","","",""
"4855","","","","","","","","","","85.4800033569336","85.4800033569336","85.4800033569336","","","","","","","","","","","",""
"4875","","","","","","","","","","","","","","","","","","","81.44000244140625","81.44000244140625","81.44000244140625","","",""
"4941","","","","91.20999908447266","91.20999908447266","91.20999908447266","","","","","","","","","","","","","","","","","",""
"4949","81.29000091552734","81.29000091552734","81.29000091552734","","","","80.62000274658203","80.62000274658203","80.62000274658203","","","","","","","","","","","","","","",""
"4961","","","","","","","","","","","","","","","","","","","","","","77.0999984741211","77.0999984741211","77.0999984741211"
"4963","","","","","","","","","","","","","71.16999816894531","71.16999816894531","71.16999816894531","","","","","","","","",""
"5020","","","","","","","","","","","","","","","","83.69000244140625","83.69000244140625","83.69000244140625","","","","","",""
"5034","","","","","","","","","","86.04000091552734","86.04000091552734","86.04000091552734","","","","","","","","","","","",""
"5049","","","","","","","","","","","","","","","","","","","80.16000366210938","80.16000366210938","80.16000366210938","","",""
"5120","","","","90.54000091552734","90.54000091552734","90.54000091552734","","","","","","","","","","","","","","","","","",""
"5127","","","","","","","","","","88.80000305175781","88.80000305175781","88.80000305175781","","","","","","","","","","","",""
"5135","","","","","","","","","","","","","","","","","","","","","","73.20999908447266","73.20999908447266","73.20999908447266"
"5136","82.81999969482422","82.81999969482422","82.81999969482422","","","","83.12999725341797","83.12999725341797","83.12999725341797","","","","","","","","","","","","","","",""
"5137","","","","","","","","","","","","","","","","","","","","","","73.20999908447266","73.20999908447266","73.20999908447266"
"5142","","","","","","","","","","","","","72.6500015258789","72.6500015258789","72.6500015258789","","","","","","","","",""
"5199","","","","","","","","","","","","","","","","81.29000091552734","81.29000091552734","81.29000091552734","","","","","",""
"5223","","","","","","","","","","","","","","","","","","","81.5999984741211","81.5999984741211","81.5999984741211","","",""
"5287","78.88999938964844","78.88999938964844","78.88999938964844","","","","85.52999877929688","85.52999877929688","85.52999877929688","","","","","","","","","","","","","","",""
"5299","","","","91.45999908447266","91.45999908447266","91.45999908447266","","","","","","","","","","","","","","","","","",""
"5306","","","","","","","","","","88.44999694824219","88.44999694824219","88.44999694824219","","","","","","","","","","","",""
"5321","","","","","","","","","","","","","74.38999938964844","74.38999938964844","74.38999938964844","","","","","","","","",""
"5330","84.91999816894531","84.91999816894531","84.91999816894531","","","","75.1500015258789","75.1500015258789","75.1500015258789","","","","","","","","","","","","","","",""
"5378","","","","","","","","","","","","","","","","83.08000183105469","83.08000183105469","83.08000183105469","","","","","",""
"5397","","","","","","","","","","","","","","","","","","","81.12999725341797","81.12999725341797","81.12999725341797","","",""
"5414","","","","","","","","","","","","","73.87999725341797","73.87999725341797","73.87999725341797","","","","","","","","",""
"5478","","","","91.20999908447266","91.20999908447266","91.20999908447266","","","","","","","","","","","","","","","","","",""
"5485","","","","","","","","","","87.16999816894531","87.16999816894531","87.16999816894531","","","","","","","","","","","",""
"5509","79.04000091552734","79.04000091552734","79.04000091552734","","","","73.81999969482422","73.81999969482422","73.81999969482422","","","","","","","","","","","","","","",""
"5557","","","","","","","","","","","","","","","","85.33000183105469","85.33000183105469","85.33000183105469","","","","","",""
"5571","","","","92.83999633789062","92.83999633789062","92.83999633789062","","","","","","","","","","","","","79.44999694824219","79.44999694824219","79.44999694824219","","",""
"5593","","","","","","","","","","","","","75.41000366210938","75.41000366210938","75.41000366210938","","","","","","","","",""
"5659","","","","","","","","","","","","","","","","","","","86.70999908447266","86.70999908447266","86.70999908447266","","",""
"5664","","","","","","","","","","88.44999694824219","88.44999694824219","88.44999694824219","","","","","","","","","","","",""
"5688","79.91000366210938","79.91000366210938","79.91000366210938","","","","86.1500015258789","86.1500015258789","86.1500015258789","","","","","","","","","","","","","","",""
