"Step","Group: text10-vision10 - evaluation/blimp/npi_licensing","Group: text10-vision10 - evaluation/blimp/npi_licensing__MIN","Group: text10-vision10 - evaluation/blimp/npi_licensing__MAX","Group: text10-vision100 - evaluation/blimp/npi_licensing","Group: text10-vision100 - evaluation/blimp/npi_licensing__MIN","Group: text10-vision100 - evaluation/blimp/npi_licensing__MAX","Group: text1-vision100 - evaluation/blimp/npi_licensing","Group: text1-vision100 - evaluation/blimp/npi_licensing__MIN","Group: text1-vision100 - evaluation/blimp/npi_licensing__MAX","Group: text1-vision10 - evaluation/blimp/npi_licensing","Group: text1-vision10 - evaluation/blimp/npi_licensing__MIN","Group: text1-vision10 - evaluation/blimp/npi_licensing__MAX","Group: text1-vision1 - evaluation/blimp/npi_licensing","Group: text1-vision1 - evaluation/blimp/npi_licensing__MIN","Group: text1-vision1 - evaluation/blimp/npi_licensing__MAX","Group: text10-vision1 - evaluation/blimp/npi_licensing","Group: text10-vision1 - evaluation/blimp/npi_licensing__MIN","Group: text10-vision1 - evaluation/blimp/npi_licensing__MAX","Group: text10-vision0 - evaluation/blimp/npi_licensing","Group: text10-vision0 - evaluation/blimp/npi_licensing__MIN","Group: text10-vision0 - evaluation/blimp/npi_licensing__MAX","Group: text1-vision0 - evaluation/blimp/npi_licensing","Group: text1-vision0 - evaluation/blimp/npi_licensing__MIN","Group: text1-vision0 - evaluation/blimp/npi_licensing__MAX"
"1684","","","","","","","56.150001525878906","56.150001525878906","56.150001525878906","55.529998779296875","55.529998779296875","55.529998779296875","","","","","","","","","","","",""
"1714","54.560001373291016","54.560001373291016","54.560001373291016","51.66999816894531","51.66999816894531","51.66999816894531","","","","","","","","","","","","","","","","","",""
"1734","","","","","","","","","","","","","43.90999984741211","43.90999984741211","43.90999984741211","","","","","","","","",""
"1741","","","","","","","","","","","","","","","","","","","38.5099983215332","38.5099983215332","38.5099983215332","","",""
"1784","","","","","","","","","","","","","","","","","","","","","","53.779998779296875","53.779998779296875","53.779998779296875"
"1791","","","","","","","","","","","","","","","","40.529998779296875","40.529998779296875","40.529998779296875","","","","","",""
"1871","","","","","","","57","57","57","52.54999923706055","52.54999923706055","52.54999923706055","","","","","","","","","","","",""
"1886","54.75","54.75","54.75","53.369998931884766","53.369998931884766","53.369998931884766","","","","","","","","","","","","","","","","","",""
"1913","","","","","","","","","","","","","46.04999923706055","46.04999923706055","46.04999923706055","","","","","","","","",""
"1915","","","","","","","","","","","","","","","","","","","45.47999954223633","45.47999954223633","45.47999954223633","","",""
"1958","","","","","","","","","","","","","","","","","","","","","","52.380001068115234","52.380001068115234","52.380001068115234"
"1970","","","","","","","","","","","","","","","","43.650001525878906","43.650001525878906","43.650001525878906","","","","","",""
"2022","","","","","","","56.40999984741211","56.40999984741211","56.40999984741211","54.38999938964844","54.38999938964844","54.38999938964844","","","","","","","","","","","",""
"2058","59.56999969482422","59.56999969482422","59.56999969482422","51.58000183105469","51.58000183105469","51.58000183105469","","","","","","","","","","","","","","","","","",""
"2089","","","","","","","","","","","","","","","","","","","43.2400016784668","43.2400016784668","43.2400016784668","","",""
"2092","","","","","","","","","","","","","53.459999084472656","53.459999084472656","53.459999084472656","","","","","","","","",""
"2132","","","","","","","","","","","","","","","","","","","","","","56.290000915527344","56.290000915527344","56.290000915527344"
"2149","","","","","","","","","","","","","","","","48.029998779296875","48.029998779296875","48.029998779296875","","","","","",""
"2209","","","","","","","56.380001068115234","56.380001068115234","56.380001068115234","53.54999923706055","53.54999923706055","53.54999923706055","","","","","","","","","","","",""
"2230","59.43000030517578","59.43000030517578","59.43000030517578","52.08000183105469","52.08000183105469","52.08000183105469","","","","","","","","","","","","","","","","","",""
"2263","","","","","","","","","","","","","","","","","","","48.689998626708984","48.689998626708984","48.689998626708984","","",""
"2271","","","","","","","","","","","","","55.5","55.5","55.5","","","","","","","","",""
"2306","","","","","","","","","","","","","","","","","","","","","","55.79999923706055","55.79999923706055","55.79999923706055"
"2328","","","","","","","","","","","","","","","","52.11000061035156","52.11000061035156","52.11000061035156","","","","","",""
