"Step","Group: text10-vision100 - evaluation/blimp/island_effects","Group: text10-vision100 - evaluation/blimp/island_effects__MIN","Group: text10-vision100 - evaluation/blimp/island_effects__MAX","Group: text1-vision100 - evaluation/blimp/island_effects","Group: text1-vision100 - evaluation/blimp/island_effects__MIN","Group: text1-vision100 - evaluation/blimp/island_effects__MAX","Group: text1-vision10 - evaluation/blimp/island_effects","Group: text1-vision10 - evaluation/blimp/island_effects__MIN","Group: text1-vision10 - evaluation/blimp/island_effects__MAX","Group: text10-vision10 - evaluation/blimp/island_effects","Group: text10-vision10 - evaluation/blimp/island_effects__MIN","Group: text10-vision10 - evaluation/blimp/island_effects__MAX","Group: text1-vision1 - evaluation/blimp/island_effects","Group: text1-vision1 - evaluation/blimp/island_effects__MIN","Group: text1-vision1 - evaluation/blimp/island_effects__MAX","Group: text10-vision1 - evaluation/blimp/island_effects","Group: text10-vision1 - evaluation/blimp/island_effects__MIN","Group: text10-vision1 - evaluation/blimp/island_effects__MAX","Group: text10-vision0 - evaluation/blimp/island_effects","Group: text10-vision0 - evaluation/blimp/island_effects__MIN","Group: text10-vision0 - evaluation/blimp/island_effects__MAX","Group: text1-vision0 - evaluation/blimp/island_effects","Group: text1-vision0 - evaluation/blimp/island_effects__MIN","Group: text1-vision0 - evaluation/blimp/island_effects__MAX"
"1741","","","","","","","","","","","","","","","","","","","58.18000030517578","58.18000030517578","58.18000030517578","","",""
"1784","","","","","","","","","","","","","","","","","","","","","","37.86000061035156","37.86000061035156","37.86000061035156"
"1791","","","","","","","","","","","","","","","","55.97999954223633","55.97999954223633","55.97999954223633","","","","","",""
"1871","","","","37.7400016784668","37.7400016784668","37.7400016784668","37.779998779296875","37.779998779296875","37.779998779296875","","","","","","","","","","","","","","",""
"1886","40.099998474121094","40.099998474121094","40.099998474121094","","","","","","","40.58000183105469","40.58000183105469","40.58000183105469","","","","","","","","","","","",""
"1913","","","","","","","","","","","","","55.63999938964844","55.63999938964844","55.63999938964844","","","","","","","","",""
"1915","","","","","","","","","","","","","","","","","","","50.63999938964844","50.63999938964844","50.63999938964844","","",""
"1958","","","","","","","","","","","","","","","","","","","","","","38.41999816894531","38.41999816894531","38.41999816894531"
"1970","","","","","","","","","","","","","","","","53.029998779296875","53.029998779296875","53.029998779296875","","","","","",""
"2022","","","","38.68000030517578","38.68000030517578","38.68000030517578","38.41999816894531","38.41999816894531","38.41999816894531","","","","","","","","","","","","","","",""
"2058","39.130001068115234","39.130001068115234","39.130001068115234","","","","","","","38.4900016784668","38.4900016784668","38.4900016784668","","","","","","","","","","","",""
"2089","","","","","","","","","","","","","","","","","","","53.59000015258789","53.59000015258789","53.59000015258789","","",""
"2092","","","","","","","","","","","","","49.59000015258789","49.59000015258789","49.59000015258789","","","","","","","","",""
"2132","","","","","","","","","","","","","","","","","","","","","","37.560001373291016","37.560001373291016","37.560001373291016"
"2149","","","","","","","","","","","","","","","","55.0099983215332","55.0099983215332","55.0099983215332","","","","","",""
"2209","","","","37.18000030517578","37.18000030517578","37.18000030517578","39.56999969482422","39.56999969482422","39.56999969482422","","","","","","","","","","","","","","",""
"2230","37.93000030517578","37.93000030517578","37.93000030517578","","","","","","","35.349998474121094","35.349998474121094","35.349998474121094","","","","","","","","","","","",""
"2263","","","","","","","","","","","","","","","","","","","46.29999923706055","46.29999923706055","46.29999923706055","","",""
"2271","","","","","","","","","","","","","45.93000030517578","45.93000030517578","45.93000030517578","","","","","","","","",""
"2306","","","","","","","","","","","","","","","","","","","","","","41.59000015258789","41.59000015258789","41.59000015258789"
"2328","","","","","","","","","","","","","","","","51.08000183105469","51.08000183105469","51.08000183105469","","","","","",""
"2396","","","","40.130001068115234","40.130001068115234","40.130001068115234","38.97999954223633","38.97999954223633","38.97999954223633","","","","","","","","","","","","","","",""
"2402","40.65999984741211","40.65999984741211","40.65999984741211","","","","","","","43.61000061035156","43.61000061035156","43.61000061035156","","","","","","","","","","","",""
"2437","","","","","","","","","","","","","","","","","","","46.970001220703125","46.970001220703125","46.970001220703125","","",""
"2450","","","","","","","","","","","","","38.56999969482422","38.56999969482422","38.56999969482422","","","","","","","","",""
"2480","","","","","","","","","","","","","","","","","","","","","","39.95000076293945","39.95000076293945","39.95000076293945"
"2507","","","","","","","","","","","","","","","","44.209999084472656","44.209999084472656","44.209999084472656","","","","","",""
"2543","","","","","","","","","","","","","37","37","37","","","","","","","","",""
"2547","","","","38.27000045776367","38.27000045776367","38.27000045776367","38.529998779296875","38.529998779296875","38.529998779296875","","","","","","","","","","","","","","",""
"2574","36.91999816894531","36.91999816894531","36.91999816894531","","","","","","","38.29999923706055","38.29999923706055","38.29999923706055","","","","","","","","","","","",""
"2611","","","","","","","","","","","","","","","","","","","39.650001525878906","39.650001525878906","39.650001525878906","44.209999084472656","44.209999084472656","44.209999084472656"
"2614","","","","","","","","","","40.91999816894531","40.91999816894531","40.91999816894531","","","","","","","","","","","",""
"2686","","","","","","","","","","","","","","","","39.869998931884766","39.869998931884766","39.869998931884766","","","","","",""
"2700","38.900001525878906","38.900001525878906","38.900001525878906","","","","","","","","","","","","","","","","","","","","",""
"2722","","","","","","","","","","","","","34.529998779296875","34.529998779296875","34.529998779296875","","","","","","","","",""
"2734","","","","39.15999984741211","39.15999984741211","39.15999984741211","38.4900016784668","38.4900016784668","38.4900016784668","","","","","","","","","","","","","","",""
"2785","","","","","","","","","","","","","","","","","","","39.61000061035156","39.61000061035156","39.61000061035156","42.2599983215332","42.2599983215332","42.2599983215332"
"2793","","","","","","","","","","43.119998931884766","43.119998931884766","43.119998931884766","","","","","","","","","","","",""
"2865","","","","","","","","","","","","","","","","40.400001525878906","40.400001525878906","40.400001525878906","","","","","",""
"2873","","","","","","","","","","","","","","","","","","","40.060001373291016","40.060001373291016","40.060001373291016","","",""
"2879","39.41999816894531","39.41999816894531","39.41999816894531","","","","","","","","","","","","","","","","","","","","",""
"2885","","","","38.86000061035156","38.86000061035156","38.86000061035156","34.599998474121094","34.599998474121094","34.599998474121094","","","","","","","","","","","","","","",""
"2901","","","","","","","","","","","","","33.93000030517578","33.93000030517578","33.93000030517578","","","","","","","","",""
"2958","","","","","","","","","","","","","","","","40.77000045776367","40.77000045776367","40.77000045776367","","","","","",""
"2959","","","","","","","","","","","","","","","","","","","","","","42.83000183105469","42.83000183105469","42.83000183105469"
"2972","","","","","","","","","","42.83000183105469","42.83000183105469","42.83000183105469","","","","","","","","","","","",""
"3047","","","","","","","","","","","","","","","","","","","37.59000015258789","37.59000015258789","37.59000015258789","","",""
"3058","39.56999969482422","39.56999969482422","39.56999969482422","","","","","","","","","","","","","","","","","","","","",""
"3072","","","","37.40999984741211","37.40999984741211","37.40999984741211","37.52000045776367","37.52000045776367","37.52000045776367","","","","","","","","","","","","","","",""
"3080","","","","","","","","","","","","","34.63999938964844","34.63999938964844","34.63999938964844","","","","","","","","",""
"3133","","","","","","","","","","","","","","","","","","","","","","44.84000015258789","44.84000015258789","44.84000015258789"
"3137","","","","","","","","","","","","","","","","40.470001220703125","40.470001220703125","40.470001220703125","","","","","",""
"3151","","","","","","","","","","38.86000061035156","38.86000061035156","38.86000061035156","","","","","","","","","","","",""
"3221","","","","","","","","","","","","","","","","","","","35.79999923706055","35.79999923706055","35.79999923706055","","",""
"3223","","","","38.27000045776367","38.27000045776367","38.27000045776367","37.52000045776367","37.52000045776367","37.52000045776367","","","","","","","","","","","","","","",""
"3237","39.459999084472656","39.459999084472656","39.459999084472656","","","","","","","","","","","","","","","","","","","","",""
"3259","","","","","","","","","","","","","36.77000045776367","36.77000045776367","36.77000045776367","","","","","","","","",""
"3307","","","","","","","","","","","","","","","","","","","","","","45.52000045776367","45.52000045776367","45.52000045776367"
"3316","","","","","","","","","","","","","","","","40.130001068115234","40.130001068115234","40.130001068115234","","","","","",""
"3330","","","","","","","","","","40.54999923706055","40.54999923706055","40.54999923706055","","","","","","","","","","","",""
"3395","","","","","","","","","","","","","","","","","","","36.880001068115234","36.880001068115234","36.880001068115234","","",""
"3410","","","","39.09000015258789","39.09000015258789","39.09000015258789","37.220001220703125","37.220001220703125","37.220001220703125","","","","","","","","","","","","","","",""
"3416","40.25","40.25","40.25","","","","","","","","","","","","","","","","","","","","",""
"3438","","","","","","","","","","","","","38.97999954223633","38.97999954223633","38.97999954223633","","","","","","","","",""
"3481","","","","","","","","","","","","","","","","","","","","","","41.7400016784668","41.7400016784668","41.7400016784668"
"3495","","","","","","","","","","","","","","","","39.09000015258789","39.09000015258789","39.09000015258789","","","","","",""
"3509","","","","","","","","","","39.95000076293945","39.95000076293945","39.95000076293945","","","","","","","","","","","",""
"3569","","","","","","","","","","","","","","","","","","","36.02000045776367","36.02000045776367","36.02000045776367","","",""
"3595","41.33000183105469","41.33000183105469","41.33000183105469","","","","","","","","","","","","","","","","","","","","",""
"3597","","","","38.4900016784668","38.4900016784668","38.4900016784668","36.209999084472656","36.209999084472656","36.209999084472656","","","","","","","","","","","","","","",""
"3612","","","","","","","","","","","","","","","","","","","","","","41.59000015258789","41.59000015258789","41.59000015258789"
"3617","","","","","","","","","","","","","38.790000915527344","38.790000915527344","38.790000915527344","","","","","","","","",""
"3674","","","","","","","","","","","","","","","","38.380001068115234","38.380001068115234","38.380001068115234","","","","","",""
"3688","","","","","","","","","","41.06999969482422","41.06999969482422","41.06999969482422","","","","","","","","","","","",""
"3743","","","","","","","","","","","","","","","","","","","37","37","37","","",""
"3748","","","","40.58000183105469","40.58000183105469","40.58000183105469","38.22999954223633","38.22999954223633","38.22999954223633","","","","","","","","","","","","","","",""
"3774","40.54999923706055","40.54999923706055","40.54999923706055","","","","","","","","","","","","","","","","","","","","",""
"3781","","","","","","","","","","40.880001068115234","40.880001068115234","40.880001068115234","","","","","","","","","","","",""
"3786","","","","","","","","","","","","","","","","","","","","","","46.709999084472656","46.709999084472656","46.709999084472656"
"3796","","","","","","","","","","","","","37.66999816894531","37.66999816894531","37.66999816894531","","","","","","","","",""
"3853","","","","","","","","","","","","","","","","40.54999923706055","40.54999923706055","40.54999923706055","","","","","",""
"3917","","","","","","","","","","","","","","","","","","","34.189998626708984","34.189998626708984","34.189998626708984","","",""
"3935","","","","40.70000076293945","40.70000076293945","40.70000076293945","40.36000061035156","40.36000061035156","40.36000061035156","","","","","","","","","","","","","","",""
"3949","","","","","","","","","","","","","38.45000076293945","38.45000076293945","38.45000076293945","","","","","","","","",""
"3953","37.88999938964844","37.88999938964844","37.88999938964844","","","","","","","","","","","","","","","","","","","","",""
"3960","","","","","","","","","","40.25","40.25","40.25","","","","","","","","","","44.25","44.25","44.25"
"4032","","","","","","","","","","","","","","","","40.84000015258789","40.84000015258789","40.84000015258789","","","","","",""
"4046","39.20000076293945","39.20000076293945","39.20000076293945","","","","","","","","","","","","","","","","","","","","",""
"4068","","","","","","","","","","","","","36.91999816894531","36.91999816894531","36.91999816894531","","","","","","","","",""
"4086","","","","39.459999084472656","39.459999084472656","39.459999084472656","38.900001525878906","38.900001525878906","38.900001525878906","","","","","","","","","","","","","","",""
"4091","","","","","","","","","","","","","","","","","","","34.97999954223633","34.97999954223633","34.97999954223633","","",""
"4134","","","","","","","","","","","","","","","","","","","","","","43.97999954223633","43.97999954223633","43.97999954223633"
