"Step","Group: text1-vision100 - evaluation/blimp/binding","Group: text1-vision100 - evaluation/blimp/binding__MIN","Group: text1-vision100 - evaluation/blimp/binding__MAX","Group: text1-vision10 - evaluation/blimp/binding","Group: text1-vision10 - evaluation/blimp/binding__MIN","Group: text1-vision10 - evaluation/blimp/binding__MAX","Group: text10-vision10 - evaluation/blimp/binding","Group: text10-vision10 - evaluation/blimp/binding__MIN","Group: text10-vision10 - evaluation/blimp/binding__MAX","Group: text10-vision100 - evaluation/blimp/binding","Group: text10-vision100 - evaluation/blimp/binding__MIN","Group: text10-vision100 - evaluation/blimp/binding__MAX","Group: text1-vision1 - evaluation/blimp/binding","Group: text1-vision1 - evaluation/blimp/binding__MIN","Group: text1-vision1 - evaluation/blimp/binding__MAX","Group: text10-vision1 - evaluation/blimp/binding","Group: text10-vision1 - evaluation/blimp/binding__MIN","Group: text10-vision1 - evaluation/blimp/binding__MAX","Group: text10-vision0 - evaluation/blimp/binding","Group: text10-vision0 - evaluation/blimp/binding__MIN","Group: text10-vision0 - evaluation/blimp/binding__MAX","Group: text1-vision0 - evaluation/blimp/binding","Group: text1-vision0 - evaluation/blimp/binding__MIN","Group: text1-vision0 - evaluation/blimp/binding__MAX"
"2734","55.18000030517578","55.18000030517578","55.18000030517578","55.7599983215332","55.7599983215332","55.7599983215332","","","","","","","","","","","","","","","","","",""
"2785","","","","","","","","","","","","","","","","","","","58","58","58","59.36000061035156","59.36000061035156","59.36000061035156"
"2793","","","","","","","55.25","55.25","55.25","","","","","","","","","","","","","","",""
"2865","","","","","","","","","","","","","","","","57.36000061035156","57.36000061035156","57.36000061035156","","","","","",""
"2873","","","","","","","","","","","","","","","","","","","57.56999969482422","57.56999969482422","57.56999969482422","","",""
"2879","","","","","","","","","","57.029998779296875","57.029998779296875","57.029998779296875","","","","","","","","","","","",""
"2885","53.59000015258789","53.59000015258789","53.59000015258789","54.70000076293945","54.70000076293945","54.70000076293945","","","","","","","","","","","","","","","","","",""
"2901","","","","","","","","","","","","","55.43000030517578","55.43000030517578","55.43000030517578","","","","","","","","",""
"2958","","","","","","","","","","","","","","","","58.470001220703125","58.470001220703125","58.470001220703125","","","","","",""
"2959","","","","","","","","","","","","","","","","","","","","","","59.220001220703125","59.220001220703125","59.220001220703125"
"2972","","","","","","","58.36000061035156","58.36000061035156","58.36000061035156","","","","","","","","","","","","","","",""
