"Step","Group: text1-vision100 - evaluation/blimp/control_raising","Group: text1-vision100 - evaluation/blimp/control_raising__MIN","Group: text1-vision100 - evaluation/blimp/control_raising__MAX","Group: text1-vision10 - evaluation/blimp/control_raising","Group: text1-vision10 - evaluation/blimp/control_raising__MIN","Group: text1-vision10 - evaluation/blimp/control_raising__MAX","Group: text10-vision10 - evaluation/blimp/control_raising","Group: text10-vision10 - evaluation/blimp/control_raising__MIN","Group: text10-vision10 - evaluation/blimp/control_raising__MAX","Group: text10-vision100 - evaluation/blimp/control_raising","Group: text10-vision100 - evaluation/blimp/control_raising__MIN","Group: text10-vision100 - evaluation/blimp/control_raising__MAX","Group: text1-vision1 - evaluation/blimp/control_raising","Group: text1-vision1 - evaluation/blimp/control_raising__MIN","Group: text1-vision1 - evaluation/blimp/control_raising__MAX","Group: text10-vision1 - evaluation/blimp/control_raising","Group: text10-vision1 - evaluation/blimp/control_raising__MIN","Group: text10-vision1 - evaluation/blimp/control_raising__MAX","Group: text10-vision0 - evaluation/blimp/control_raising","Group: text10-vision0 - evaluation/blimp/control_raising__MIN","Group: text10-vision0 - evaluation/blimp/control_raising__MAX","Group: text1-vision0 - evaluation/blimp/control_raising","Group: text1-vision0 - evaluation/blimp/control_raising__MIN","Group: text1-vision0 - evaluation/blimp/control_raising__MAX"
"3781","","","","","","","58.72999954223633","58.72999954223633","58.72999954223633","","","","","","","","","","","","","","",""
"3786","","","","","","","","","","","","","","","","","","","","","","62.72999954223633","62.72999954223633","62.72999954223633"
"3796","","","","","","","","","","","","","57.97999954223633","57.97999954223633","57.97999954223633","","","","","","","","",""
"3853","","","","","","","","","","","","","","","","58.310001373291016","58.310001373291016","58.310001373291016","","","","","",""
"3917","","","","","","","","","","","","","","","","","","","58.369998931884766","58.369998931884766","58.369998931884766","","",""
"3935","62.72999954223633","62.72999954223633","62.72999954223633","61.41999816894531","61.41999816894531","61.41999816894531","","","","","","","","","","","","","","","","","",""
"3949","","","","","","","","","","","","","58.09000015258789","58.09000015258789","58.09000015258789","","","","","","","","",""
"3953","","","","","","","","","","60.83000183105469","60.83000183105469","60.83000183105469","","","","","","","","","","","",""
"3960","","","","","","","60.22999954223633","60.22999954223633","60.22999954223633","","","","","","","","","","","","","62.63999938964844","62.63999938964844","62.63999938964844"
"4032","","","","","","","","","","","","","","","","58.790000915527344","58.790000915527344","58.790000915527344","","","","","",""
"4046","","","","","","","","","","60.04999923706055","60.04999923706055","60.04999923706055","","","","","","","","","","","",""
"4068","","","","","","","","","","","","","57.560001373291016","57.560001373291016","57.560001373291016","","","","","","","","",""
"4086","63.880001068115234","63.880001068115234","63.880001068115234","61.63999938964844","61.63999938964844","61.63999938964844","","","","","","","","","","","","","","","","","",""
"4091","","","","","","","","","","","","","","","","","","","58.220001220703125","58.220001220703125","58.220001220703125","","",""
"4134","","","","","","","","","","","","","","","","","","","","","","62.09000015258789","62.09000015258789","62.09000015258789"
"4139","","","","","","","60.029998779296875","60.029998779296875","60.029998779296875","","","","","","","","","","","","","","",""
"4179","","","","","","","","","","","","","","","","","","","58.2599983215332","58.2599983215332","58.2599983215332","","",""
"4211","","","","","","","","","","","","","","","","58.41999816894531","58.41999816894531","58.41999816894531","","","","","",""
"4225","","","","","","","","","","60.779998779296875","60.779998779296875","60.779998779296875","","","","","","","","","","","",""
"4247","","","","","","","","","","","","","58.150001525878906","58.150001525878906","58.150001525878906","","","","","","","","",""
"4273","63.0099983215332","63.0099983215332","63.0099983215332","61.599998474121094","61.599998474121094","61.599998474121094","","","","","","","","","","","","","","","","","",""
"4304","","","","","","","","","","","","","","","","58.16999816894531","58.16999816894531","58.16999816894531","","","","","",""
"4308","","","","","","","","","","","","","","","","","","","","","","62.54999923706055","62.54999923706055","62.54999923706055"
"4318","","","","","","","60.7400016784668","60.7400016784668","60.7400016784668","","","","","","","","","","","","","","",""
"4353","","","","","","","","","","","","","","","","","","","58.2400016784668","58.2400016784668","58.2400016784668","","",""
"4404","","","","","","","","","","60.22999954223633","60.22999954223633","60.22999954223633","","","","","","","","","","","",""
"4424","63.52000045776367","63.52000045776367","63.52000045776367","62.20000076293945","62.20000076293945","62.20000076293945","","","","","","","","","","","","","","","","","",""
"4426","","","","","","","","","","","","","57.709999084472656","57.709999084472656","57.709999084472656","","","","","","","","",""
"4439","","","","","","","","","","","","","","","","","","","","","","63.150001525878906","63.150001525878906","63.150001525878906"
"4483","","","","","","","","","","","","","","","","58.2599983215332","58.2599983215332","58.2599983215332","","","","","",""
"4497","","","","","","","61.11000061035156","61.11000061035156","61.11000061035156","","","","","","","","","","","","","","",""
"4527","","","","","","","","","","","","","","","","","","","58.68000030517578","58.68000030517578","58.68000030517578","","",""
"4583","","","","","","","","","","60.08000183105469","60.08000183105469","60.08000183105469","","","","","","","","","","","",""
"4605","","","","","","","","","","","","","58.2400016784668","58.2400016784668","58.2400016784668","","","","","","","","",""
"4611","63.790000915527344","63.790000915527344","63.790000915527344","61.72999954223633","61.72999954223633","61.72999954223633","","","","","","","","","","","","","","","","","",""
"4613","","","","","","","","","","","","","","","","","","","","","","63.83000183105469","63.83000183105469","63.83000183105469"
"4662","","","","","","","","","","","","","","","","58.880001068115234","58.880001068115234","58.880001068115234","","","","","",""
"4676","","","","","","","59.189998626708984","59.189998626708984","59.189998626708984","","","","","","","","","","","","","","",""
"4701","","","","","","","","","","","","","","","","","","","58.439998626708984","58.439998626708984","58.439998626708984","","",""
"4762","","","","","","","","","","59.959999084472656","59.959999084472656","59.959999084472656","","","","","","","","","","","",""
"4784","","","","","","","","","","","","","58.2400016784668","58.2400016784668","58.2400016784668","","","","","","","","",""
"4787","","","","","","","","","","","","","","","","","","","","","","64.01000213623047","64.01000213623047","64.01000213623047"
"4798","63.5","63.5","63.5","61.400001525878906","61.400001525878906","61.400001525878906","","","","","","","","","","","","","","","","","",""
"4841","","","","","","","","","","","","","","","","59.7400016784668","59.7400016784668","59.7400016784668","","","","","",""
"4855","","","","","","","59.7400016784668","59.7400016784668","59.7400016784668","","","","","","","","","","","","","","",""
"4875","","","","","","","","","","","","","","","","","","","58.880001068115234","58.880001068115234","58.880001068115234","","",""
"4941","","","","","","","","","","61.439998626708984","61.439998626708984","61.439998626708984","","","","","","","","","","","",""
"4949","63.880001068115234","63.880001068115234","63.880001068115234","61.86000061035156","61.86000061035156","61.86000061035156","","","","","","","","","","","","","","","","","",""
"4961","","","","","","","","","","","","","","","","","","","","","","64.41000366210938","64.41000366210938","64.41000366210938"
"4963","","","","","","","","","","","","","58.65999984741211","58.65999984741211","58.65999984741211","","","","","","","","",""
"5020","","","","","","","","","","","","","","","","59.880001068115234","59.880001068115234","59.880001068115234","","","","","",""
"5034","","","","","","","60.29999923706055","60.29999923706055","60.29999923706055","","","","","","","","","","","","","","",""
"5049","","","","","","","","","","","","","","","","","","","60.13999938964844","60.13999938964844","60.13999938964844","","",""
"5120","","","","","","","","","","61.13999938964844","61.13999938964844","61.13999938964844","","","","","","","","","","","",""
"5127","","","","","","","60.66999816894531","60.66999816894531","60.66999816894531","","","","","","","","","","","","","","",""
"5135","","","","","","","","","","","","","","","","","","","","","","63.459999084472656","63.459999084472656","63.459999084472656"
"5136","63.720001220703125","63.720001220703125","63.720001220703125","63.47999954223633","63.47999954223633","63.47999954223633","","","","","","","","","","","","","","","","","",""
"5137","","","","","","","","","","","","","","","","","","","","","","63.459999084472656","63.459999084472656","63.459999084472656"
"5142","","","","","","","","","","","","","58.619998931884766","58.619998931884766","58.619998931884766","","","","","","","","",""
"5199","","","","","","","","","","","","","","","","59.29999923706055","59.29999923706055","59.29999923706055","","","","","",""
"5223","","","","","","","","","","","","","","","","","","","59.790000915527344","59.790000915527344","59.790000915527344","","",""
"5287","62.349998474121094","62.349998474121094","62.349998474121094","61.11000061035156","61.11000061035156","61.11000061035156","","","","","","","","","","","","","","","","","",""
"5299","","","","","","","","","","61.88999938964844","61.88999938964844","61.88999938964844","","","","","","","","","","","",""
"5306","","","","","","","61.529998779296875","61.529998779296875","61.529998779296875","","","","","","","","","","","","","","",""
"5321","","","","","","","","","","","","","58.84000015258789","58.84000015258789","58.84000015258789","","","","","","","","",""
"5330","62.77000045776367","62.77000045776367","62.77000045776367","59.540000915527344","59.540000915527344","59.540000915527344","","","","","","","","","","","","","","","","","",""
"5378","","","","","","","","","","","","","","","","60.45000076293945","60.45000076293945","60.45000076293945","","","","","",""
"5397","","","","","","","","","","","","","","","","","","","59.459999084472656","59.459999084472656","59.459999084472656","","",""
"5414","","","","","","","","","","","","","59.29999923706055","59.29999923706055","59.29999923706055","","","","","","","","",""
"5478","","","","","","","","","","61.04999923706055","61.04999923706055","61.04999923706055","","","","","","","","","","","",""
"5485","","","","","","","60.43000030517578","60.43000030517578","60.43000030517578","","","","","","","","","","","","","","",""
"5509","62.72999954223633","62.72999954223633","62.72999954223633","60.470001220703125","60.470001220703125","60.470001220703125","","","","","","","","","","","","","","","","","",""
"5557","","","","","","","","","","","","","","","","61.18000030517578","61.18000030517578","61.18000030517578","","","","","",""
"5571","","","","","","","","","","61.58000183105469","61.58000183105469","61.58000183105469","","","","","","","60.540000915527344","60.540000915527344","60.540000915527344","","",""
"5593","","","","","","","","","","","","","58.349998474121094","58.349998474121094","58.349998474121094","","","","","","","","",""
"5659","","","","","","","","","","","","","","","","","","","61.27000045776367","61.27000045776367","61.27000045776367","","",""
"5664","","","","","","","61.66999816894531","61.66999816894531","61.66999816894531","","","","","","","","","","","","","","",""
"5688","62.220001220703125","62.220001220703125","62.220001220703125","62.70000076293945","62.70000076293945","62.70000076293945","","","","","","","","","","","","","","","","","",""
"5736","","","","","","","","","","","","","","","","61.36000061035156","61.36000061035156","61.36000061035156","","","","","",""
"5750","","","","","","","","","","61.5099983215332","61.5099983215332","61.5099983215332","","","","","","","","","","","",""
"5772","","","","","","","","","","","","","58.880001068115234","58.880001068115234","58.880001068115234","","","","","","","","",""
"5829","","","","","","","","","","","","","","","","61.029998779296875","61.029998779296875","61.029998779296875","","","","","",""
"5833","","","","","","","","","","","","","","","","","","","61.4900016784668","61.4900016784668","61.4900016784668","","",""
"5843","","","","","","","61.88999938964844","61.88999938964844","61.88999938964844","","","","","","","","","","","","","","",""
