"Step","Group: text10-vision10 - evaluation/imagenet_zeroshot/top1","Group: text10-vision10 - evaluation/imagenet_zeroshot/top1__MIN","Group: text10-vision10 - evaluation/imagenet_zeroshot/top1__MAX","Group: text10-vision100 - evaluation/imagenet_zeroshot/top1","Group: text10-vision100 - evaluation/imagenet_zeroshot/top1__MIN","Group: text10-vision100 - evaluation/imagenet_zeroshot/top1__MAX","Group: text1-vision100 - evaluation/imagenet_zeroshot/top1","Group: text1-vision100 - evaluation/imagenet_zeroshot/top1__MIN","Group: text1-vision100 - evaluation/imagenet_zeroshot/top1__MAX","Group: text1-vision10 - evaluation/imagenet_zeroshot/top1","Group: text1-vision10 - evaluation/imagenet_zeroshot/top1__MIN","Group: text1-vision10 - evaluation/imagenet_zeroshot/top1__MAX","Group: text1-vision1 - evaluation/imagenet_zeroshot/top1","Group: text1-vision1 - evaluation/imagenet_zeroshot/top1__MIN","Group: text1-vision1 - evaluation/imagenet_zeroshot/top1__MAX","Group: text10-vision1 - evaluation/imagenet_zeroshot/top1","Group: text10-vision1 - evaluation/imagenet_zeroshot/top1__MIN","Group: text10-vision1 - evaluation/imagenet_zeroshot/top1__MAX"
"6559","0.013882220722734928","0.013882220722734928","0.013882220722734928","","","","","","","","","","","","","","",""
"6601","","","","","","","0.00630100816488266","0.00630100816488266","0.00630100816488266","","","","","","","","",""
"6634","","","","","","","","","","0.005883765406906605","0.005883765406906605","0.005883765406906605","","","","","",""
"6645","","","","0.0004000640183221549","0.0004000640183221549","0.0004000640183221549","","","","","","","","","","","",""
"6652","0.012281965464353561","0.012281965464353561","0.012281965464353561","","","","","","","","","","","","","","",""
"6667","","","","","","","","","","","","","0.00442070746794343","0.00442070746794343","0.00442070746794343","","",""
"6724","","","","","","","","","","","","","","","","0.0010401664767414331","0.0010401664767414331","0.0010401664767414331"
"6780","","","","","","","0.0066610658541321754","0.0066610658541321754","0.0066610658541321754","","","","","","","","",""
"6787","","","","","","","0.0066610658541321754","0.0066610658541321754","0.0066610658541321754","","","","","","","","",""
"6813","","","","","","","","","","0.006524175405502319","0.006524175405502319","0.006524175405502319","","","","","",""
"6820","","","","","","","","","","","","","0.0037405984476208687","0.0037405984476208687","0.0037405984476208687","","",""
"6824","","","","0.0007201152038760483","0.0007201152038760483","0.0007201152038760483","","","","","","","","","","","",""
"6831","0.011841895058751106","0.011841895058751106","0.011841895058751106","","","","","","","","","","","","","","",""
"6874","","","","","","","0.006140982732176781","0.006140982732176781","0.006140982732176781","","","","","","","","",""
"6903","","","","","","","","","","","","","","","","0.0009801568230614066","0.0009801568230614066","0.0009801568230614066"
"6917","","","","0.0005800928338430822","0.0005800928338430822","0.0005800928338430822","","","","","","","","","","","",""
"6949","","","","","","","","","","0.00666426494717598","0.00666426494717598","0.00666426494717598","","","","","",""
"7010","0.01348215714097023","0.01348215714097023","0.01348215714097023","","","","","","","","","","","","","","",""
"7025","","","","","","","","","","","","","0.004700751975178719","0.004700751975178719","0.004700751975178719","","",""
"7053","","","","","","","0.006641062442213297","0.006641062442213297","0.006641062442213297","","","","","","","","",""
"7082","","","","","","","","","","","","","","","","0.0008801408112049103","0.0008801408112049103","0.0008801408112049103"
"7096","","","","0.0005000800010748208","0.0005000800010748208","0.0005000800010748208","","","","","","","","","","","",""
"7128","","","","","","","","","","0.005343419965356588","0.005343419965356588","0.005343419965356588","","","","","",""
"7175","","","","","","","","","","","","","","","","0.0010001600021496415","0.0010001600021496415","0.0010001600021496415"
"7189","0.012281965464353561","0.012281965464353561","0.012281965464353561","","","","","","","","","","","","","","",""
"7204","","","","","","","","","","","","","0.004700751975178719","0.004700751975178719","0.004700751975178719","","",""
"7232","","","","","","","0.006841094698756933","0.006841094698756933","0.006841094698756933","","","","","","","","",""
"7275","","","","0.0005000800010748208","0.0005000800010748208","0.0005000800010748208","","","","","","","","","","","",""
"7307","","","","","","","","","","0.00572366314008832","0.00572366314008832","0.00572366314008832","","","","","",""
"7314","","","","","","","","","","0.00572366314008832","0.00572366314008832","0.00572366314008832","","","","","",""
"7315","","","","","","","","","","0.00626100180670619","0.00626100180670619","0.00626100180670619","","","","","",""
"7354","","","","","","","","","","","","","","","","0.002160345669835806","0.002160345669835806","0.002160345669835806"
"7383","","","","","","","","","","","","","0.004780764691531658","0.004780764691531658","0.004780764691531658","","",""
"7411","","","","","","","0.007501200307160616","0.007501200307160616","0.007501200307160616","","","","","","","","",""
"7454","0.011781885288655758","0.011781885288655758","0.011781885288655758","0.010361657477915287","0.010361657477915287","0.010361657477915287","","","","","","","","","","","",""
"7494","","","","","","","","","","0.0065210433676838875","0.0065210433676838875","0.0065210433676838875","","","","","",""
"7533","","","","","","","","","","","","","","","","0.0019403104670345783","0.0019403104670345783","0.0019403104670345783"
"7562","","","","","","","","","","","","","0.004740758333355188","0.004740758333355188","0.004740758333355188","","",""
"7590","","","","","","","0.007541206665337086","0.007541206665337086","0.007541206665337086","","","","","","","","",""
"7633","0.013062089681625366","0.013062089681625366","0.013062089681625366","0.013002079911530018","0.013002079911530018","0.013002079911530018","","","","","","","","","","","",""
"7673","","","","","","","","","","0.006741078570485115","0.006741078570485115","0.006741078570485115","","","","","",""
"7712","","","","","","","","","","","","","","","","0.0019403104670345783","0.0019403104670345783","0.0019403104670345783"
"7741","","","","","","","","","","","","","0.004900784231722355","0.004900784231722355","0.004900784231722355","","",""
"7769","","","","","","","0.0071411426179111","0.0071411426179111","0.0071411426179111","","","","","","","","",""
"7812","0.013902224600315094","0.013902224600315094","0.013902224600315094","0.012001920491456985","0.012001920491456985","0.012001920491456985","","","","","","","","","","","",""
"7852","","","","","","","","","","0.006841094698756933","0.006841094698756933","0.006841094698756933","","","","","",""
"7862","","","","","","","0.007161145564168692","0.007161145564168692","0.007161145564168692","","","","","","","","",""
"7891","","","","","","","","","","","","","","","","0.002140342490747571","0.002140342490747571","0.002140342490747571"
"7920","","","","","","","","","","","","","0.0051808287389576435","0.0051808287389576435","0.0051808287389576435","","",""
"7945","","","","","","","","","","0.007401184178888798","0.007401184178888798","0.007401184178888798","","","","","",""
"7991","0.016942711547017097","0.016942711547017097","0.016942711547017097","0.011341814883053303","0.011341814883053303","0.011341814883053303","","","","","","","","","","","",""
"8041","","","","","","","0.007281165104359388","0.007281165104359388","0.007281165104359388","","","","","","","","",""
"8070","","","","","","","","","","","","","","","","0.0032605216838419437","0.0032605216838419437","0.0032605216838419437"
"8084","0.015802528709173203","0.015802528709173203","0.015802528709173203","","","","","","","","","","","","","","",""
"8099","","","","","","","","","","","","","0.004960793536156416","0.004960793536156416","0.004960793536156416","","",""
"8124","","","","","","","","","","0.006120979320257902","0.006120979320257902","0.006120979320257902","","","","","",""
"8170","","","","0.014762361533939838","0.014762361533939838","0.014762361533939838","","","","","","","","","","","",""
"8220","","","","","","","0.007001120131462812","0.007001120131462812","0.007001120131462812","","","","","","","","",""
"8249","","","","","","","","","","","","","","","","0.0030204833019524813","0.0030204833019524813","0.0030204833019524813"
"8263","0.01680268906056881","0.01680268906056881","0.01680268906056881","","","","","","","","","","","","","","",""
"8278","","","","","","","","","","","","","0.004920787177979946","0.004920787177979946","0.004920787177979946","","",""
"8303","","","","","","","","","","0.007041126489639282","0.007041126489639282","0.007041126489639282","","","","","",""
"8349","","","","0.014402304776012897","0.014402304776012897","0.014402304776012897","","","","","","","","","","","",""
